State,City,Location,Type of Area,Numbers of  monitoring days (n),Ammonia(NH3)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,Nacharam,Industrial,92,52,19,0,Moderate
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,96,55,18,0,Moderate
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,91,80,30,0,Moderate
Delhi,Delhi,Mayapuri Ind. Area,Industrial,96,67,29,0,Moderate
Delhi,Delhi,Sarojini Nagar,Residential and other,79,56,20,0,Moderate
Delhi,Delhi,Town Hall,Residential and other,95,76,29,0,Moderate
Maharashtra,Mumbai,Parel,Industrial,93,61,60,0,Moderate
Maharashtra,Mumbai,Worli,Residential and other,94,46,36,0,Low
Maharashtra,Mumbai,Kalbadevi,Residential and other,91,58,52,0,Moderate
Maharashtra,Nagpur,Hingna Road,Industrial,92,30,23,0,Low
Maharashtra,Nagpur,Maskasath,Residential and other,86,39,26,0,Low
Maharashtra,Nagpur,"NEERI Lab., Nehru Marg",Residential and other,91,27,22,0,Low
Tamil Nadu,Chennai,Thiruvottiyur Municipal Office,Industrial,94,28,43,0,Low
Tamil Nadu,Chennai,Madras Medical College,Residential and other,44,21,17,0,NA
Tamil Nadu,Chennai,NEERI CSIR Campus,Residential and other,94,21,25,0,Low
West Bengal,Kolkata,Cossipore,Industrial,95,13,24,0,Low
West Bengal,Kolkata,Lal Bazaar,Residential and other,96,16,29,0,Low
West Bengal,Kolkata,Kasba,Residential and other,95,14,25,0,Low
