State,City,Location,Type,Numbers of  monitoring days (n),Nitrogen Dioxide(NO2)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,Nacharam,Industrial,88,11,6,0,Low
Andhra Pradesh,Hyderabad,CITD Balanagar,Industrial,107,35,8,0,Low
Andhra Pradesh,Hyderabad,Uppal,Industrial,108,34,8,0,Low
Andhra Pradesh,Hyderabad,Jublee Hills,Residential and other,108,16,2,0,Low
Andhra Pradesh,Hyderabad,Charminar,Residential and other,108,33,5,0,Moderate
Andhra Pradesh,Hyderabad,Paradise,Residential and other,108,36,7,1,Moderate
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,92,14,6,0,Low
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,87,22,8,0,Low
Andhra Pradesh,Hyderabad,Zoo Park,Sensitive,109,17,4,1,High
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,120,30,5,0,Low
Andhra Pradesh,Visakhapatnam,Mindi,Residential and other,120,31,2,0,Moderate
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,120,31,2,0,Moderate
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,118,30,2,0,Moderate
Andhra Pradesh,Visakhapatnam,Ganapuram,Residential and other,119,30,2,0,Moderate
Andhra Pradesh,Visakhapatnam,Naval Area,Sensitive,120,30,2,75,Critical
Andhra Pradesh,Tirupati,Regional Science Centre,Sensitive,103,9,0,0,Moderate
Andhra Pradesh,Vijaywada,Auto Nagar,Industrial,106,37,9,0,Low
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,108,36,11,0,Moderate
Andhra Pradesh,Patancheru,Police Station,Residential and other,30,29,7,0,NA
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,110,17,5,0,Low
Andhra Pradesh,Ramagundam,RTC Bus Depot,Residential and other,66,12,4,0,Low
Assam,Guwahati,Bamunimaidam Head Office,Residential and other,298,18,5,0,Low
Assam,Guwahati,Fire Brigade Station,Residential and other,267,15,3,0,Low
Assam,Guwahati,ITI Building Goipnath Nagar,Residential and other,278,17,4,0,Low
Assam,Guwahati,Near Pragiyotish College,Residential and other,253,14,4,0,Low
Assam,Bongaigaon,Borpara Boards Regional Office,Residential and other,98,9,2,0,Low
Assam,Bongaigaon,Campus of Oil India Ltd.,Residential and other,94,10,3,0,Low
Assam,Dibrugarh,Dibrugarh Office Building,Residential and other,94,11,2,0,Low
Assam,Golaghat,Golaghat Office Buliding,Residential and other,100,12,3,0,Low
Assam,Sivasagar,Sivasagar Office Building,Residential and other,58,11,3,0,Low
Assam,Tezpur,Tezpur Office Building,Residential and other,98,10,3,0,Low
Assam,Hailakandi,CISF Campus,Residential and other,96,12,2,0,Low
Bihar,Patna,Beltron Bhavan,Residential and other,135,32,9,1,Moderate
Bihar,Patna,Gandhi Maidan,Residential and other,50,67,38,24,High
Chandigarh,Chandigarh,Industrial Area,Industrial,151,21,8,0,Low
Chandigarh,Chandigarh,Sector –17C,Residential and other,151,16,7,0,Low
Chandigarh,Chandigarh,Punjab Engg. College,Residential and other,149,13,6,0,Low
Chandigarh,Chandigarh,"IMTECH, Sector 39",Residential and other,132,13,6,0,Low
Chandigarh,Chandigarh,Kaimbwala Village,Residential and other,147,11,6,0,Low
Chattisgarh,Korba,Pragati Nagar,Residential and other,99,21,1,0,Low
Chattisgarh,Korba,"HIG 21, 22, MP Nagar (Extn)",Residential and other,94,21,1,0,Low
Chattisgarh,Korba,ITI Rampur,Residential and other,93,21,1,0,Low
Chattisgarh,Bhilai,Laghu Udyog Nigam I.A.,Industrial,94,31,1,0,Low
Chattisgarh,Bhilai,Vishak Hostel,Residential and other,91,26,2,0,Low
Chattisgarh,Bhilai,Regional Office Bunglow Office Building,Residential and other,100,16,2,0,Low
Chattisgarh,Raipur,M/s Wool Worth (I) Limited,Industrial,80,35,2,0,Low
Chattisgarh,Raipur,"New HIG – 9, Hirapur",Residential and other,76,36,4,0,Moderate
Chattisgarh,Raipur,Yatayat Thane,Residential and other,70,35,2,0,Moderate
Delhi,Delhi,Mayapuri Industrial Area,Industrial,96,70,29,5,Moderate
Delhi,Delhi,Shahzada Bagh,Industrial,78,36,8,0,Low
Delhi,Delhi,Shahdara,Industrial,78,48,12,0,Moderate
Delhi,Delhi,Sarojini Nagar,Residential and other,79,65,25,23,High
Delhi,Delhi,Town hall,Residential and other,95,82,32,42,High
Delhi,Delhi,Nizamuddin,Residential and other,72,32,10,0,Moderate
Delhi,Delhi,Pritampura,Residential and other,74,31,9,0,Moderate
Delhi,Delhi,Siri Fort,Residential and other,76,39,11,0,Moderate
Delhi,Delhi,Janakpuri,Residential and other,76,44,10,0,Moderate
Goa,Vasco,"On the roof of Fuse Call Office, Elec. Dept.",Industrial,102,15,8,0,Low
Goa,Vasco,Mormugao Port Trust,Industrial,99,10,6,0,Low
Goa,Panjim,"Patto, Panaji",Residential and other,93,11,5,0,Low
Gujarat,Ahmedabad,Naroda GIDC,Industrial,104,31,6,0,Low
Gujarat,Ahmedabad,Shardaben Hospital,Industrial,101,21,4,0,Low
Gujarat,Ahmedabad,"Cadilla Bridge, Narol",Residential and other,104,26,6,0,Low
Gujarat,Ahmedabad,L. D. Engineering College,Residential and other,94,15,4,0,Low
Gujarat,Ahmedabad,R.C.High school,Residential and other,96,20,4,0,Low
Gujarat,Ahmedabad,Berhampura,Residential and other,104,20,4,0,Low
Gujarat,Vadodara,CETP Nandesari,Industrial,104,42,5,0,Moderate
Gujarat,Vadodara,"GPCB Office, Geri Vasahat",Residential and other,104,17,5,0,Low
Gujarat,Vadodara,City Dandia Bazaar,Residential and other,104,27,4,0,Low
Gujarat,Vadodara,Shubhanpura ,Residential and other,188,13,6,0,Low
Gujarat,Surat,Udhna,Industrial,104,31,9,0,Low
Gujarat,Surat,SVR Engg. College,Residential and other,105,23,5,0,Low
Gujarat,Surat,Near Air India Office,Residential and other,105,29,4,0,Low
Gujarat,Rajkot,Sardhara Ind. Corporation,Industrial,102,19,3,0,Low
Gujarat,Rajkot,Regional Office,Residential and other,93,17,4,0,Low
Gujarat,Ankaleshwar,Rallis India Ltd,Industrial,104,32,4,0,Low
Gujarat,Ankaleshwar,Durga Traders,Residential and other,104,26,5,0,Low
Gujarat,Vapi,GEB GIDC,Industrial,104,32,4,0,Low
Gujarat,Vapi,Vapi Nagar Palika,Residential and other,107,27,4,0,Low
Gujarat,Jamnagar,Fisheries Office,Residential and other,102,27,4,0,Low
Haryana,Faridabad,Shivalic Global Industries,Industrial,97,24,3,0,Low
Haryana,Faridabad,Regional Office,Residential and other,142,25,4,0,Low
Haryana,Yamuna Nagar,Ballarpur Industries,Industrial,34,30,4,0,NA
Haryana,Hissar,Urban Estate II,Residential and other,73,BDL,1,0,Low
Haryana,Hissar,Guru Jambehswar Univ.,Residential and other,74,BDL,3,0,Low
Himachal Pradesh,Shimla,"Tekka Bench, The Ridge",Sensitive,140,BDL,5,1,Low
Himachal Pradesh,Shimla,Bus Stand,Residential and other,130,12,7,0,Low
Himachal Pradesh,Parwanoo,"AC Office Building,",Industrial,114,11,3,0,Low
Himachal Pradesh,Parwanoo,Regional Office,Residential and other,137,BDL,3,0,Low
Himachal Pradesh,Damtal,Regional Office,Residential and other,119,17,3,0,Low
Himachal Pradesh,Damtal,Old Road,Residential and other,119,20,2,0,Low
Himachal Pradesh,Paonta Sahib,"Industrial Area, Gondpur",Industrial,125,14,1,0,Low
Himachal Pradesh,Paonta Sahib,Paonta Sahib,Residential and other,136,12,2,0,Low
Himachal Pradesh,Baddi,Industry Dept. Office Building,Industrial,269,13,3,0,Low
