State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Nitrogen Dioxide(NO2)-  Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,582,RIRuO,93,9,9,9,9,9,9,Null,0,Low
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",583,RIRuO,102,9,15,11,11,11,12,1,0,Low
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab.",150,RIRuO,94,6,45,20,15,20,25,5,0,Low
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate",151,RIRuO,89,5,43,18,13,17,23,6,0,Low
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office Build- ing,152,RIRuO,92,12,47,26,18,26,35,7,0,Moderate
Andhra Pradesh,Hydrabad,Balanagar,95,RIRuO,108,22,71,29,25,29,35,5,0,Moderate
Andhra Pradesh,Hydrabad,"Uppal, IDA",203,RIRuO,108,15,52,29,25,28,34,5,0,Moderate
Andhra Pradesh,Hydrabad,Jublee Hills,365,RIRuO,108,14,29,17,15,16,18,3,0,Low
Andhra Pradesh,Hydrabad,Paradise,393,RIRuO,108,24,59,30,25,29,35,5,0,Moderate
Andhra Pradesh,Hydrabad,Charminar,394,RIRuO,108,22,55,29,25,29,34,4,0,Moderate
Andhra Pradesh,Hydrabad,Zoo Park,470,RIRuO,107,14,46,17,15,16,17,4,0,Low
Andhra Pradesh,Kothagudem,"CER Club, Khamam",581,RIRuO,103,10,13,11,10,11,12,1,0,Low
Andhra Pradesh,Kurnool,Mourya Inn,466,RIRuO,118,9,9,9,9,9,9,Null,0,Low
Andhra Pradesh,Nalgonda,"RO, APPCB",577,RIRuO,108,19,29,23,20,24,27,3,0,Moderate
Andhra Pradesh,Nellore,Kamakhya Temple,580,RIRuO,94,10,13,12,11,12,12,1,0,Low
Andhra Pradesh,Patencheru,"Police Station, Ramachadrapuram",468,RIRuO,98,18,33,23,20,23,26,3,0,Moderate
Andhra Pradesh,Ramagundam,Karimnagar Godavarikhani,465,RIRuO,98,5,50,12,5,9,24,10,0,Low
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor BypassRoad",389,RIRuO,104,9,9,9,9,9,9,Null,0,Low
Andhra Pradesh,Vijaywada,Benz Circle,462,RIRuO,113,8,15,12,10,13,14,2,0,Low
Andhra Pradesh,Vijaywada,Autonagar,469,RIRuO,113,10,20,15,12,15,19,3,0,Low
Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda",579,RIRuO,102,5,32,10,5,8,16,6,0,Low
Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",234,RIRuO,108,9,155,18,10,17,26,14,1,Low
Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",233,RIRuO,108,9,29,15,9,13,21,5,0,Low
Andhra Pradesh,Vishakhapatnam,Police Barracks,371,RIRuO,108,9,48,21,12,21,28,6,0,Moderate
Andhra Pradesh,Vishakhapatnam,"INS-Virabahu, Naval Area",387,RIRuO,108,9,46,16,10,15,23,6,0,Low
Andhra Pradesh,Vishakhapatnam,Seethammadhara,388,RIRuO,107,9,55,16,10,15,23,7,0,Low
