State,City,Location,Type,Numbers of  monitoring days (n),Respirable Suspended Particulate Matter(RSPM)- Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,Nacharam,Industrial,91,50,17,0,Low
Andhra Pradesh,Hyderabad,CITD Balanagar,Industrial,107,95,33,7,Moderate
Andhra Pradesh,Hyderabad,Uppal,Industrial,108,99,33,7,Moderate
Andhra Pradesh,Hyderabad,Jublee Hills,Residential and other,108,49,17,0,Moderate
Andhra Pradesh,Hyderabad,Charminar,Residential and other,107,101,28,50,Critical
Andhra Pradesh,Hyderabad,Paradise,Residential and other,108,103,21,60,Critical
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,95,63,24,6,High
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,89,67,27,15,High
Andhra Pradesh,Hyderabad,Zoo Park,Sensitive,110,51,20,10,High
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,120,91,10,0,Moderate
Andhra Pradesh,Visakhapatnam,Mindi,Residential and other,120,97,13,39,Critical
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,120,103,18,58,Critical
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,118,89,12,15,High
Andhra Pradesh,Visakhapatnam,Ganapuram,Residential and other,119,90,12,12,Critical
Andhra Pradesh,Visakhapatnam,Naval Area,Sensitive,119,77,8,66,Critical
Andhra Pradesh,Tirupati,Regional Science Centre,Sensitive,103,26,4,0,Moderate
Andhra Pradesh,Vijaywada,Auto Nagar,Industrial,107,92,16,0,Moderate
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,109,85,13,9,High
Andhra Pradesh,Patancheru,Police Station,Residential and other,30,107,88,37,NA
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,109,80,13,1,High
Andhra Pradesh,Ramagundam,RTC Bus Depot,Residential and other,65,65,39,20,High
Assam,Guwahati,Bamunimaidam Head Office,Residential and other,298,114,79,45,Critical
Assam,Guwahati,Fire Brigade Station,Residential and other,268,96,56,40,Critical
Assam,Guwahati,ITI Building Goipnath Nagar,Residential and other,278,96,58,38,Critical
