State,City,Location,Type,Numbers of  monitoring days (n),Respirable Suspended Particulate Matter(RSPM)- Annual average (µg/m3),Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial,110,106,63,Moderate
Andhra Pradesh,Hyderabad,Nacharam,Industrial,93,54,0,Low
Andhra Pradesh,Hyderabad,Uppal,Industrial,108,108,4,Moderate
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,93,81,26,High
Andhra Pradesh,Hyderabad,Charminar,Residential and other,107,119,79,Critical
Andhra Pradesh,Hyderabad,Jubilee Hills,Residential and other,108,58,3,Moderate
Andhra Pradesh,Hyderabad,Paradise,Residential and other,108,114,70,Critical
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,98,64,10,High
Andhra Pradesh,Hyderabad,Zoo Park,Sensitive,107,58,3,High
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,106,71,5,High
Andhra Pradesh,Patencheru,Police Station,Residential and other,105,97,45,Critical
Andhra Pradesh,Ramagundam,RTC Bus Depot,Residential and other,101,87,33,High
Andhra Pradesh,Tirupati,Reg.Science Center,Sensitive,116,34,0,Moderate
Andhra Pradesh,Vijaywada,Autonagar,Industrial,110,101,2,Moderate
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,110,91,36,Critical
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,112,69,0,Moderate
Andhra Pradesh,Visakhapatnam,Ganapuram Area,Residential and other,112,96,7,Critical
Andhra Pradesh,Visakhapatnam,Mndi,Residential and other,111,78,23,High
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,113,93,19,Critical
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,112,79,15,High
Andhra Pradesh,Visakhapatnam,Naval Area/ ESI Hospital  ,Sensitive,112,68,30,High
Assam,Bongaigaon,Barpara Office Bldg,Residential and other,106,56,9,Moderate
Assam,Bongaigaon,Campus of Oil India,Residential and other,105,76,33,High
Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and other,96,56,8,Moderate
Assam,Golaghat,Golaghat Off. Bldg.,Residential and other,43,71,16,NA
Assam,Guwahati,Fire Brigade Station,Residential and other,92,141,82,Critical
Assam,Guwahati,Gopinath Nagar,Residential and other,211,103,43,Critical
Assam,Guwahati,Head Office,Residential and other,93,152,82,Critical
Assam,Guwahati,Near Pragiyotish College ,Residential and other,225,96,43,Critical
Assam,Hailakandi,CISF Campus,Residential and other,61,66,13,High
Assam,Sibsagar,Sibasagar Off. Bldg,Residential and other,57,81,32,High
Assam,Tezpur,Tezpur Off.Bldg,Residential and other,91,76,27,High
Bihar,Patna,Beltron Bhawan,Residential and other,72,94,36,Critical
Bihar,Patna,Gandhi Maidan T C,Residential and other,64,146,80,Critical
Chandigarh,Chandigarh,Industrial Area,Industrial,153,123,31,High
Chandigarh,Chandigarh,Kaimbwala Village,Residential and other,152,91,38,Critical
Chandigarh,Chandigarh,Punjab Eng College,Residential and other,151,88,32,High
Chandigarh,Chandigarh,Sector-17 C,Residential and other,154,80,23,High
Chandigarh,Chandigarh,Sector-39,Residential and other,153,95,41,Critical
Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial,78,157,74,High
Chhattisgarh,Bhilai Nagar,Regional Office,Residential and other,76,79,0,High
Chhattisgarh,Bhilai Nagar,Visak Hostel,Residential and other,79,90,9,High
Chhattisgarh,Korba," I.T.I, Rampur",Residential and other,102,113,75,Critical
Chhattisgarh,Korba,"HIG 21,22, MP Nagar (Extn)",Residential and other,108,107,66,Critical
Chhattisgarh,Korba,Pragati Nagar,Residential and other,89,102,54,Critical
Chhattisgarh,Raipur,Wool Worth I.Pvt.Ltd,Industrial,65,212,92,Critical
Chhattisgarh,Raipur,"New HIG - 9, Hirapur",Residential and other,51,181,98,Critical
Chhattisgarh,Raipur,Yatayat Thana,Residential and other,46,182,100,NA
Dadra & Nagar Haveli,Silvasa,Khadoli Industrial Area,Industrial,104,109,1,Moderate
Dadra & Nagar Haveli,Silvasa,Chetan Guest House,Residential and other,104,78,3,High
Daman & Diu,Daman,Kadaiya,Industrial,104,105,0,Moderate
Daman & Diu,Daman,Airport Road,Residential and other,102,87,25,High
Delhi,Delhi,Mayapuri Indl. Area,Industrial,96,263,78,Critical
Delhi,Delhi,Shahdara,Industrial,73,210,66,Critical
Delhi,Delhi,Shahzada Bagh,Industrial,72,203,53,Critical
Delhi,Delhi,Janakpuri,Residential and other,75,219,89,Critical
Delhi,Delhi,N.Y. School,Residential and other,79,180,67,Critical
Delhi,Delhi,Nizamuddin,Residential and other,44,200,68,NA
Delhi,Delhi,Pritampura,Residential and other,75,159,79,Critical
Delhi,Delhi,Siri Fort,Residential and other,74,215,91,Critical
Delhi,Delhi,Town Hall,Residential and other,96,278,92,Critical
Goa,Mormugao,Mormugao Port Trust,Industrial,101,54,2,Low
Goa,Panaji,"Patto, Panaji",Residential and other,104,57,1,Moderate
Goa,Vasco,Electricity Deptt.,Industrial,101,50,1,Low
Gujarat,Ahmedabad,Naroda,Industrial,104,129,21,High
Gujarat,Ahmedabad,Shardaban Hospital,Industrial,98,80,0,Moderate
Gujarat,Ahmedabad,Cadilla Bridge Narol,Residential and other,105,84,0,High
Gujarat,Ahmedabad,Behrampura,Residential and other,104,83,4,High
Gujarat,Ahmedabad,L.D. Eng. College,Residential and other,104,73,2,High
Gujarat,Ahmedabad,R.C. High School,Residential and other,103,81,1,High
Gujarat,Anklesvar,Rallies India Ltd,Industrial,105,108,0,Moderate
Gujarat,Anklesvar,Durga Traders,Residential and other,105,77,0,High
Gujarat,Jamnagar,Fisheries Office,Residential and other,104,95,36,Critical
Gujarat,Rajkot,Sardhara Indl.Corp.,Industrial,104,120,5,Moderate
Gujarat,Rajkot,Regional Office,Residential and other,102,89,1,High
Gujarat,Surat,Udhna,Industrial,103,100,0,Moderate
Gujarat,Surat,Near A.I. Office,Residential and other,104,86,7,High
Gujarat,Surat,S.V.R. Eng. College,Residential and other,103,75,0,High
Gujarat,Vadodara,CETP,Industrial,104,119,0,Moderate
Gujarat,Vadodara,Dandia Bazar,Residential and other,105,68,6,High
Gujarat,Vadodara,GPCB Office,Residential and other,104,45,0,Moderate
Gujarat,Vapi,GEB,Industrial,105,84,0,Moderate
Gujarat,Vapi,Vapi Nagar Palika,Residential and other,106,73,4,High
