State,City,Station,Type,Numbers of  monitoring days (n),Sulfur Dioxide(SO2)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,Nacharam,Industrial,87,4,3,0,Low
Andhra Pradesh,Hyderabad,CITD Balanagar,Industrial,100,6,2,0,Low
Andhra Pradesh,Hyderabad,Uppal,Industrial,95,5,0.3,0,Low
Andhra Pradesh,Hyderabad,Jublee Hills,Residential and other,98,4,0.2,0,Low
Andhra Pradesh,Hyderabad,Charminar,Residential and other,97,5,0.2,0,Low
Andhra Pradesh,Hyderabad,Paradise,Residential and other,105,5,1,0,Low
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,90,5,4,0,Low
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,91,6,4,0,Low
Andhra Pradesh,Hyderabad,Zoo Park,Sensitive,95,5,0.2,0,Low
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,121,12,3,0,Low
Andhra Pradesh,Visakhapatnam,Mindi,Residential and other,111,12,2,0,Low
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,118,11,2,0,Low
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,118,11,1,0,Low
Andhra Pradesh,Visakhapatnam,Naval Area,Sensitive,117,10,1,0,Low
Andhra Pradesh,Visakhapatnam,Ganapuram,Residential and other,90,12,2,0,Low
Andhra Pradesh,Tirupati,Regional Science Centre,Sensitive,87,4,0,0,Low
Andhra Pradesh,Vijaywada,Auto Nagar,Industrial,89,6,1,0,Low
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,101,5,1,0,Low
Andhra Pradesh,Patancheru,Police Station,Residential and other,55,13,1,0,Low
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,91,4,0,0,Low
Assam,Guwahati,Bamunimaidam,Residential and other,299,7,3,0,Low
Assam,Guwahati,Fire Brigade Station,Residential and other,288,7,3,0,Low
Assam,Guwahati,ITI Building Goipnath Nagar,Residential and other,251,6,3,0,Low
Assam,Guwahati,Near Pragiyotish College,Residential and other,29,9,2,0,NA
Assam,Bongaigaon,Borpara Boards Regional Office,Residential and other,67,4,1,0,Low
Assam,Dibrugarh,Dibrugarh Office Building,Residential and other,33,6,2,0,NA
Assam,Golaghat,Golaghat Office Buliding,Residential and other,38,5,2,0,NA
Assam,Sivasagar,Sivasagar Office Building,Residential and other,40,5,2,0,NA
Assam,Tezpur,Tezpur Office Building,Residential and other,50,4,1,0,Low
Assam,Hailakandi,CISF Campus,Residential and other,37,7,2,0,NA
Bihar,Patna,Beltron Bhavan,Residential and other,93,9,2,0,Low
Bihar,Patna,Gandhi Maidan,Residential and other,75,11,2,0,Low
Chandigarh,Chandigarh,Industrial Area,Industrial,151,BDL,0,0,Low
Chandigarh,Chandigarh,Sector –17C,Residential and other,145,BDL,0.3,0,Low
Chandigarh,Chandigarh,Punjab Engg. College,Residential and other,140,BDL,0.3,0,Low
Chandigarh,Chandigarh,"IMTECH, Sector 39",Residential and other,151,BDL,0.3,0,Low
Chandigarh,Chandigarh,Kaimbwala Village,Residential and other,153,BDL,0.3,0,Low
Chattisgarh,Korba,Pragati Nagar,Residential and other,95,13,1,0,Low
Chattisgarh,Korba,"HIG 21, 22, MP Nagar (Extn)",Residential and other,96,13,1,0,Low
Chattisgarh,Korba,ITI Rampur,Residential and other,93,13,1,0,Low
Chattisgarh,Bhilai,Laghu Udyog Nigam I.A.,Industrial,78,26,1,0,Low
Chattisgarh,Bhilai,Vishak Hostel,Residential and other,85,23,1,0,Low
Chattisgarh,Bhilai,Regional Office Bunglow Office Building,Residential and other,90,BDL,2,0,Low
Chattisgarh,Raipur,M/s Wool Worth (I) Ltd,Industrial,73,11,1,0,Low
Chattisgarh,Raipur,"New HIG – 9, Hirapur",Residential and other,83,12,2,0,Low
Chattisgarh,Raipur,Yatayat Thane,Residential and other,77,12,1,0,Low
Delhi,Delhi,Mayapuri Industrial Area,Industrial,97,13,7,0,Low
Delhi,Delhi,Shahzada Bagh,Industrial,62,9,4,0,Low
Delhi,Delhi,Shahdara,Industrial,78,10,7,0,Low
Delhi,Delhi,Sarojini Nagar,Residential and other,96,7,4,0,Low
Delhi,Delhi,Town hall,Residential and other,96,10,6,0,Low
Delhi,Delhi,Nizamuddin,Residential and other,77,10,4,0,Low
Delhi,Delhi,Pritam Pura,Residential and other,47,9,6,0,NA
Delhi,Delhi,Siri Fort,Residential and other,78,6,2,0,Low
Delhi,Delhi,Janakpuri,Residential and other,78,9,4,0,Low
Goa,Vasco,"On the roof of Fuse Call Office, Elec. Dept.",Industrial,104,BDL,4,0,Low
Goa,Vasco,Mormugao Port Trust,Industrial,102,BDL,3,0,Low
Goa,Panjim,"Patto, Panaji",Residential and other,105,BDL,3,0,Low
Gujarat,Ahmedabad,Naroda GIDC,Industrial,104,13,2,0,Low
Gujarat,Ahmedabad,Shardaben Hospital,Industrial,100,11,2,0,Low
Gujarat,Ahmedabad,"Cadilla Bridge, Narol",Residential and other,104,12,2,0,Low
Gujarat,Ahmedabad,L. D. Engineering College,Residential and other,101,9,2,0,Low
Gujarat,Ahmedabad,R.C.High school,Residential and other,95,10,2,0,Low
Gujarat,Ahmedabad,AZL Behrampur,Residential and other,102,10,2,0,Low
Gujarat,Vadodara,CETP Nandesari,Industrial,101,26,4,0,Low
Gujarat,Vadodara,"GPCB Office, Geri Vasahat",Residential and other,104,9,3,0,Low
Gujarat,Vadodara,City Dandia Bazaar,Residential and other,102,18,4,0,Low
Gujarat,Vadodara,Shubhanpura ,Residential and other,107,10,9,0,Low
Gujarat,Surat,Udhna,Industrial,96,25,3,0,Low
Gujarat,Surat,SVR Engg. College,Residential and other,104,21,3,0,Low
Gujarat,Surat,Near Air India Office,Residential and other,104,23,3,0,Low
Gujarat,Rajkot,Sardhara Ind. Corporation,Industrial,103,12,4,0,Low
Gujarat,Rajkot,Regional Office,Residential and other,102,11,4,0,Low
Gujarat,Ankaleshwar,Rallis India Ltd,Industrial,103,26,2,0,Low
Gujarat,Ankaleshwar,Durga Traders,Residential and other,103,21,2,0,Low
Gujarat,Vapi,GEB GIDC,Industrial,104,25,2,0,Low
Gujarat,Vapi,Vapi Nagar Palika,Residential and other,103,22,3,0,Low
Gujarat,Jamnagar,Fisheries Office,Residential and other,103,11,5,0,Low
Haryana,Faridabad,Shivalic Global Industries,Industrial,97,12,2,0,Low
Haryana,Faridabad,Regional Office,Residential and other,126,10,2,0,Low
Haryana,Yamuna Nagar,Ballarpur Industries,Industrial,52,17,3,0,Low
Haryana,Hissar,Urban Estate II,Residential and other,86,9,1,0,Low
Haryana,Hissar,Guru Jambehswar Univ.,Residential and other,94,8,2,0,Low
Himachal Pradesh,Shimla,"Tekka Bench, The Ridge",Sensitive,117,4,3,0,Low
Himachal Pradesh,Shimla,Bus Stand,Residential and other,122,7,5,0,Low
Himachal Pradesh,Parwanoo,"AC Office Building,",Industrial,125,4,1,0,Low
Himachal Pradesh,Parwanoo,Regional Office,Residential and other,147,BDL,1,0,Low
Himachal Pradesh,Damtal,Regional Office,Residential and other,122,BDL,2,0,Low
Himachal Pradesh,Damtal,Old Road,Residential and other,103,4,2,0,Low
Himachal Pradesh,Paonta Sahib,"Industrial Area, Gondpur",Industrial,115,BDL,0.3,0,Low
Himachal Pradesh,Paonta Sahib,Paonta Sahib,Residential and other,137,BDL,0.3,0,Low
Himachal Pradesh,Baddi,Industry Dept. Office Building,Industrial,292,4,1,0,Low
Himachal Pradesh,Kala Amb,Industrial Area,Industrial,131,BDL,1,0,Low
Himachal Pradesh,Kala Amb,Kala Amb,Residential and other,89,BDL,0,0,Low
Jharkhand,Dhanbad,Regional Office,Residential and other,90,19,3,0,Low
Jharkhand,Jharia,MADA,Industrial,97,20,3,0,Low
Jharkhand,Sindri,BIT,Industrial,92,19,3,0,Low
Jharkhand,Jamshedpur,Bistupur Vehicle Testing Center,Industrial,91,39,3,0,Low
Jharkhand,Jamshedpur,Golmuri Vehicle Testing Center,Industrial,81,37,4,0,Low
Karnataka,Bangalore,Graphite India Limited,Industrial,81,23,12,0,Low
Karnataka,Bangalore,KHB Industrial Area,Industrial,76,21,9,0,Low
Karnataka,Bangalore,Peenya Industrial Area,Industrial,46,18,6,0,NA
Karnataka,Bangalore,Victoria Hospital,Sensitive,73,20,9,15,High
Karnataka,Bangalore,Amco Batteries,Residential and other,65,20,10,0,Low
Karnataka,Bangalore,Yeshwantpura,Residential and other,63,18,6,0,Low
Karnataka,Mysore,Hebbal Industrial Area,Industrial,103,17,6,0,Low
Karnataka,Mysore,K.R. Circle,Residential and other,112,18,6,0,Low
Karnataka,Hubli-Dharwad,Lakkamanahalli Industrial Area,Industrial,83,BDL,1,0,Low
Karnataka,Hubli-Dharwad,Rani Chennamma Circle,Residential and other,97,BDL,1,0,Low
Karnataka,Mangalore,Baikampady Indl. Area,Industrial,104,8,3,0,Low
Karnataka,Gulbarga,Govt. Hospital,Sensitive,98,BDL,3,0,Low
Karnataka,Belgam,KSPCB Building,Industrial,80,BDL,1,0,Low
Karnataka,Hassan,KSRTC Bus Stand Building,Residential and other,105,6,1,0,Low
Kerala,Kochi,Eloor,Industrial,107,26,29,2,Low
Kerala,Kochi,Irumpanam,Industrial,107,6,13,0,Low
Kerala,Kochi,Ernakulum south,Residential and other,108,BDL,2,0,Low
Kerala,Tiruvanantha-puram,Hitech Chackai,Industrial,104,17,3,0,Low
Kerala,Tiruvanantha-puram,SMV School,Residential and other,104,7,3,0,Low
Kerala,Tiruvanantha-puram,Sasthamangalam/Pettah,Residential and other,103,6,1,0,Low
Kerala,Tiruvanantha-puram,PRS Hospital,Sensitive,105,7,2,0,Low
Kerala,Kozhikode,Nallalam,Industrial,110,BDL,0.4,0,Low
Kerala,Kozhikode,Kozhikode City,Residential and other,110,BDL,1,0,Low
Kerala,Kottayam,Vadavathoor,Industrial,96,5,0.3,0,Low
Kerala,Kottayam,Kottayam,Residential and other,96,6,0.3,0,Low
Kerala,Palakkad,SEPR Refractories India Ltd. Kanjikode,Industrial,120,BDL,1,0,Low
Madhya Pradesh,Bhopal,CEPT Govindpura,Industrial,76,4,1,0,Low
Madhya Pradesh,Bhopal,Hamidia Road,Residential and other,72,5,2,0,Low
