State,City,Station,Type,Numbers of  monitoring days (n),Sulfur Dioxide(SO2)-  Annual average (µg/m3),Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial,110,6,0,Low
Andhra Pradesh,Hyderabad,Nacharam,Industrial,92,BDL,0,Low
Andhra Pradesh,Hyderabad,Uppal,Industrial,108,6,0,Low
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,89,6,0,Low
Andhra Pradesh,Hyderabad,Charminar,Residential and other,107,6,1,Low
Andhra Pradesh,Hyderabad,Jubilee Hills,Residential and other,108,5,0,Low
Andhra Pradesh,Hyderabad,Paradise,Residential and other,108,6,0,Low
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,96,4,0,Low
Andhra Pradesh,Hyderabad,Zoo Park,Sensitive,107,5,0,Low
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,107,4,0,Low
Andhra Pradesh,Patencheru,Police Station,Residential and other,105,11,0,Low
Andhra Pradesh,Ramagundam,RTC Bus Depot,Residential and other,100,4,0,Low
Andhra Pradesh,Tirupati,Reg.Science Center,Sensitive,116,4,0,Low
Andhra Pradesh,Vijaywada,Autonagar,Industrial,110,6,0,Low
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,110,5,0,Low
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,112,10,0,Low
Andhra Pradesh,Visakhapatnam,Ganapuram Area,Residential and other,112,11,0,Low
Andhra Pradesh,Visakhapatnam,Mndi,Residential and other,111,8,0,Low
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,113,12,0,Low
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,112,10,0,Low
Andhra Pradesh,Visakhapatnam,Naval Area/ ESI Hospital  ,Sensitive,112,11,4,Moderate
Assam,Bongaigaon,Barpara Office Bldg,Residential and other,106,5,0,Low
Assam,Bongaigaon,Campus of Oil India,Residential and other,105,5,0,Low
Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and other,96,5,0,Low
Assam,Golaghat,Golaghat Off. Bldg.,Residential and other,43,4,0,Low
Assam,Guwahati,Fire Brigade Station,Residential and other,92,9,0,Low
Assam,Guwahati,ITI Building Gopinath Nagar,Residential and other,211,7,0,Low
Assam,Guwahati,Bamunimaidan Head Office,Residential and other,93,9,0,Low
Assam,Guwahati,Near Pragiyotish College ,Residential and other,225,7,0,Low
Assam,Hailakandi,CISF Campus,Residential and other,61,6,0,Low
Assam,Sibsagar,Sibasagar Off. Bldg,Residential and other,57,5,0,Low
Assam,Tezpur,Tezpur Office Bldg,Residential and other,91,5,0,Low
Bihar,Patna,Beltron Bhawan,Residential and other,61,6,0,Low
Bihar,Patna,Gandhi Maidan T C,Residential and other,50,8,0,Low
Chandigarh,Chandigarh,Industrial Area,Industrial,153,BDL,0,Low
Chandigarh,Chandigarh,Kaimbwala Village,Residential and other,152,BDL,0,Low
Chandigarh,Chandigarh,Punjab Eng College,Residential and other,151,BDL,0,Low
Chandigarh,Chandigarh,Sector-17 C,Residential and other,154,BDL,0,Low
Chandigarh,Chandigarh,"IMTECH, Sector-39",Residential and other,153,BDL,0,Low
Chhattisgarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial,77,26,0,Low
