State ,City,Location,Type,Category of ES,No. of mon. days (n),Min,Max,SO2 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,RIRuO,NA,72,4,12,4,4,4,1,0,Low
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",RIRuO,NA,69,2,5,4,2,5,1,0,Low
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab. IICT Campus",RIRuO,NA,94,2,95,5,2,6,10,1,Low
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate",RIRuO,NA,93,2,26,4,2,7,3,0,Low
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office,RIRuO,NA,95,2,31,4,2,7,4,0,Low
Andhra Pradesh,Hydrabad,Balanagar,RIRuO,NA,110,4,5,5,4,5,0,0,Low
Andhra Pradesh,Hydrabad,"Uppal, Modern Foods & Industries IDA",RIRuO,NA,107,4,10,5,4,5,1,0,Low
Andhra Pradesh,Hydrabad,Jublee Hills,RIRuO,NA,108,4,5,4,4,5,0,0,Low
Andhra Pradesh,Hydrabad,Paradise,RIRuO,NA,114,4,11,5,4,5,1,0,Low
Andhra Pradesh,Hydrabad,Charminar,RIRuO,NA,117,4,5,5,4,5,0,0,Low
Andhra Pradesh,Hydrabad,Zoo Park,RIRuO,NA,116,4,11,4,4,4,1,0,Low
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,RIRuO,NA,36,4,11,4,4,4,1,0,Null
Andhra Pradesh,Kothagudem,"CER Club, Khamam",RIRuO,NA,71,4,4,4,4,4,0,0,Low
Andhra Pradesh,Kurnool,Mourya Inn,RIRuO,NA,90,4,4,4,4,4,0,0,Low
Andhra Pradesh,Nalgonda,AP PCB Nalgonda,RIRuO,NA,108,4,5,4,4,5,0,0,Low
Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem",RIRuO,NA,60,2,5,4,2,4,1,0,Low
Andhra Pradesh,Patencheru,"Police Station, Medak, Ramachadrapuram",RIRuO,NA,108,4,14,6,5,8,1,0,Low
Andhra Pradesh,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",RIRuO,NA,91,4,17,6,4,9,2,0,Low
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",RIRuO,NA,90,4,12,4,4,4,1,0,Low
