State,City,Location,Type,Numbers of  monitoring days (n),Suspended Particulate Matter(SPM)- Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,Nacharam,Industrial,84,133,48,0,Low
Andhra Pradesh,Hyderabad,CITD Balanagar,Industrial,100,279,69,0,Moderate
Andhra Pradesh,Hyderabad,Uppal,Industrial,95,273,68,0,Moderate
Andhra Pradesh,Hyderabad,Jublee Hills,Residential and other,98,140,42,8,High
Andhra Pradesh,Hyderabad,Charminar,Residential and other,97,276,47,91,Critical
Andhra Pradesh,Hyderabad,Paradise,Residential and other,105,284,51,91,Critical
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,91,164,60,26,High
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,92,170,71,32,High
Andhra Pradesh,Hyderabad,Zoo Park,Sensitive,95,134,53,76,Critical
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,121,187,23,0,Moderate
Andhra Pradesh,Visakhapatnam,Mindi,Residential and other,111,209,24,68,High
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,118,203,32,55,High
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,118,186,31,21,High
Andhra Pradesh,Visakhapatnam,Naval Area,Sensitive,117,161,24,99,Critical
Andhra Pradesh,Visakhapatnam,Ganapuram,Residential and other,90,283,68,90,Critical
Andhra Pradesh,Tirupati,Regional Science Centre,Sensitive,87,101,11,64,High
Andhra Pradesh,Vijaywada,Auto Nagar,Industrial,89,242,30,0,Moderate
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,101,178,20,17,High
Andhra Pradesh,Patancheru,Police Station,Residential and other,55,113,11,0,Moderate
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,90,192,76,28,High
Assam,Guwahati,Bamunimaidam,Residential and other,300,201,146,43,High
Assam,Guwahati,Fire Brigade Station,Residential and other,289,202,135,39,High
Assam,Guwahati,ITI Building Goipnath Nagar,Residential and other,250,153,128,24,High
Assam,Guwahati,Near Pragiyotish College,Residential and other,29,224,39,69,NA
Assam,Bongaigaon,Borpara Boards Regional Office,Residential and other,67,59,32,0,Low
Assam,Dibrugarh,Dibrugarh Office Building,Residential and other,33,98,53,3,NA
Assam,Golaghat,Golaghat Office Buliding,Residential and other,38,98,45,3,NA
Assam,Sivasagar,Sivasagar Office Building,Residential and other,40,91,42,0,NA
Assam,Tezpur,Tezpur Office Building,Residential and other,50,108,75,14,Moderate
Assam,Hailakandi,CISF Campus,Residential and other,37,72,28,0,NA
Bihar,Patna,Beltron Bhavan,Residential and other,93,243,25,97,Critical
Bihar,Patna,Gandhi Maidan,Residential and other,76,353,75,100,Critical
Chandigarh,Chandigarh,Industrial Area,Industrial,152,291,117,3,Moderate
Chandigarh,Chandigarh,Sector –17C,Residential and other,145,189,75,39,High
Chandigarh,Chandigarh,Punjab Engg. College,Residential and other,140,189,85,40,High
Chandigarh,Chandigarh,"IMTECH, Sector 39",Residential and other,150,215,98,47,Critical
Chandigarh,Chandigarh,Kaimbwala Village,Residential and other,156,211,94,49,Critical
Chattisgarh,Korba,Pragati Nagar,Residential and other,93,158,20,0,High
Chattisgarh,Korba,"HIG 21, 22, MP Nagar (Extn)",Residential and other,96,205,33,67,High
Chattisgarh,Korba,ITI Rampur,Residential and other,93,210,32,73,Critical
Chattisgarh,Bhilai,Laghu Udyog Nigam I.A.,Industrial,78,265,21,0,Moderate
Chattisgarh,Bhilai,Vishak Hostel,Residential and other,89,200,33,40,High
Chattisgarh,Bhilai,Regional Office Bunglow Office Building,Residential and other,91,162,20,1,High
Chattisgarh,Raipur,M/s Wool Worth (I) Ltd,Industrial,76,289,44,0,Moderate
Chattisgarh,Raipur,"New HIG – 9, Hirapur",Residential and other,89,259,45,88,Critical
Chattisgarh,Raipur,Yatayat Thane,Residential and other,80,210,33,65,Critical
Delhi,Delhi,Mayapuri Industrial Area,Industrial,95,484,221,48,High
Delhi,Delhi,Shahzada Bagh,Industrial,57,406,121,28,High
Delhi,Delhi,Shahdara,Industrial,78,408,191,24,High
Delhi,Delhi,Sarojini Nagar,Residential and other,95,374,184,78,Critical
Delhi,Delhi,Town hall,Residential and other,96,464,209,88,Critical
Delhi,Delhi,Nizamuddin,Residential and other,77,350,168,83,Critical
Delhi,Delhi,Pritam Pura,Residential and other,48,401,178,88,NA
Delhi,Delhi,Siri Fort,Residential and other,78,335,161,81,Critical
Delhi,Delhi,Janakpuri,Residential and other,72,380,141,90,Critical
Goa,Vasco,"On the roof of Fuse Call Office, Elec. Dept.",Industrial,103,159,100,1,Low
Goa,Vasco,Mormugao Port Trust,Industrial,102,84,48,0,Low
