State,City,Location,Type,Numbers of  monitoring days (n),Suspended Particulate Matter(SPM)- Annual average (µg/m3),Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial,110,306,0,Moderate
Andhra Pradesh,Hyderabad,Nacharam,Industrial,93,104,0,Low
Andhra Pradesh,Hyderabad,Uppal,Industrial,108,302,0,Moderate
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,93,192,42,High
Andhra Pradesh,Hyderabad,Charminar,Residential and other,106,325,97,Critical
Andhra Pradesh,Hyderabad,Jubilee Hills,Residential and other,108,155,12,High
Andhra Pradesh,Hyderabad,Paradise,Residential and other,108,315,99,Critical
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,98,164,26,High
Andhra Pradesh,Hyderabad,Zoo Park,Sensitive,107,160,11,Critical
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,106,171,12,High
Andhra Pradesh,Patencheru,Police Station,Residential and other,105,246,58,Critical
Andhra Pradesh,Ramagundam,RTC Bus Depot,Residential and other,101,264,63,Critical
Andhra Pradesh,Tirupati,Reg.Science Center,Sensitive,116,109,63,Critical
Andhra Pradesh,Vijaywada,Autonagar,Industrial,110,238,0,Moderate
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,110,201,58,High
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,112,143,0,Low
Andhra Pradesh,Visakhapatnam,Ganapuram Area,Residential and other,112,223,1,Critical
Andhra Pradesh,Visakhapatnam,Mndi,Residential and other,111,159,26,High
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,113,226,63,Critical
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,112,179,30,High
Andhra Pradesh,Visakhapatnam,Naval Area/ ESI Hospital  ,Sensitive,112,142,87,Critical
Assam,Bongaigaon,Barpara Office Bldg,Residential and other,106,91,4,Moderate
Assam,Bongaigaon,Campus of Oil India,Residential and other,105,113,8,Moderate
Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and other,96,92,1,Moderate
Assam,Golaghat,Golaghat Off. Bldg.,Residential and other,43,108,0,NA
Assam,Guwahati,Fire Brigade Station,Residential and other,92,211,57,Critical
Assam,Guwahati,Gopinath Nagar,Residential and other,211,163,27,High
Assam,Guwahati,Head Office,Residential and other,93,233,67,Critical
Assam,Guwahati,Near Pragiyotish College ,Residential and other,225,151,19,High
Assam,Hailakandi,CISF Campus,Residential and other,61,104,3,Moderate
Assam,Sibsagar,Sibasagar Off. Bldg,Residential and other,57,119,4,Moderate
Assam,Tezpur,Tezpur Office Bldg,Residential and other,91,131,21,Moderate
Bihar,Patna,Beltron Bhawan,Residential and other,75,225,61,Critical
Bihar,Patna,Gandhi Maidan T C,Residential and other,64,390,95,Critical
Chandigarh,Chandigarh,Industrial Area,Industrial,153,257,0,Moderate
