CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2011-04-30,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2011-05-31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2011-06-30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2011-07-31,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2011-08-31,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2011-09-30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2011-10-31,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2011-11-30,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2011-12-31,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-01-31,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-02-29,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-03-31,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-04-30,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-05-31,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-06-30,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-07-31,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-08-31,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-09-30,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-10-31,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-11-30,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2012-12-31,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-01-31,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-02-28,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-03-31,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-04-30,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-05-31,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-06-30,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-07-31,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-08-31,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-09-30,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-10-31,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-11-30,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2013-12-31,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-01-31,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-02-28,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-03-31,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-04-30,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-05-31,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-06-30,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-07-31,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-08-31,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-09-30,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-10-31,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-11-30,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2014-12-31,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-01-31,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-02-28,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-03-31,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-04-30,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-05-31,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-06-30,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-07-31,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-08-31,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-09-30,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-10-31,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-11-30,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2015-12-31,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2016-01-31,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2016-02-29,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2016-03-31,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Coal,EAC,Million Tonnes,Monthly,NA,ENCOTOTPRO11M,Coal Production (Monthly),2016-04-30,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
