CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-01-31,56414,,18,353,674,1136,204,4996,1983,415,993,348,3463,1193,3899,9666,39,114,21,29,1321,2505,3252,17,4346,,56,4943,482,1888,20,100,1721,134,116,229,2,4908,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-02-28,53093,,17,312,626,1125,183,4622,1763,355,805,339,3377,1128,3452,9165,33,109,19,25,1257,2434,2915,18,4571,,55,4504,422,1941,20,81,1414,134,117,213,2,4753,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-03-31,56018,,18,336,679,1217,215,5013,1791,390,801,355,3705,1301,3046,9583,38,104,19,26,1391,2365,2748,17,5112,,63,4438,436,2365,20,87,1519,154,130,228,2,5414,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-04-30,56960,,18,313,670,1284,212,5133,1848,361,918,347,3731,1291,3099,9984,29,95,19,24,1412,2552,2540,18,5072,,60,4681,439,2368,20,100,1815,154,121,245,2,5111,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-05-31,56979,,19,345,640,1154,214,5344,2235,388,922,343,3196,1246,2913,9554,36,111,19,29,1347,3089,2724,17,5006,,65,4673,468,2313,20,130,2246,158,126,221,2,4758,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-06-30,54910,,19,379,642,1104,192,4560,2498,404,930,321,2662,1152,2603,7978,43,127,19,33,1339,4224,2656,17,5259,,65,4750,475,2293,20,130,2139,150,128,234,2,4503,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-07-31,55642,,19,415,682,1111,204,4031,2575,412,930,335,2954,1163,2320,7415,45,123,18,30,1376,4897,2480,17,5415,,73,4876,508,2374,20,144,2316,161,137,236,2,4885,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-08-31,55429,,19,409,702,1081,207,3546,2725,412,868,354,3275,1213,2348,7059,42,118,18,32,1388,4838,2239,17,5542,,71,5110,506,2345,20,140,2287,160,136,243,2,4985,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-09-30,54807,,18,393,670,1112,210,4665,2468,424,870,355,3089,1187,2440,7794,47,120,18,31,1493,3592,2441,17,5072,,73,4960,493,2226,20,122,2030,153,136,240,2,4895,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-10-31,59224,,20,328,783,1205,260,5965,2281,439,899,373,3418,1253,3282,8953,50,120,19,31,1463,3028,3094,17,5091,,113,5111,494,2320,20,107,1853,146,133,231,2,5291,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-11-30,56374,,28,336,671,1040,218,6122,1900,430,1050,383,3142,1231,3947,9671,38,118,20,25,1380,2389,3052,18,4252,,57,4719,483,2038,20,90,1492,139,137,244,2,4563,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2006-12-31,61163,,28,360,759,1153,220,6263,2024,474,1209,401,3670,1301,4448,10387,33,122,21,29,1454,2659,3305,18,4871,,62,4998,541,1936,20,96,1598,146,143,263,2,5176,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-01-31,62341,,28,349,775,1264,227,5872,2124,502,1114,418,3900,1315,4440,10314,32,114,20,28,1522,2824,3350,24,5087,,58,5178,591,2149,20,103,1689,146,134,260,2,5407,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-02-28,55194,,32,313,653,1194,212,5182,1700,442,1003,343,3657,1223,3421,9816,29,95,21,26,1360,2151,2687,21,5045,,50,4022,459,1869,20,87,1395,139,129,237,2,5293,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-03-31,61564,,38,357,778,1361,248,5781,1871,448,1012,396,4103,1448,3449,11080,27,105,23,25,1567,2398,2668,22,5787,,55,4363,500,2307,20,94,1537,156,142,269,3,6097,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-04-30,61398,,31,343,751,1323,243,6097,1956,444,960,393,3495,1316,3300,10937,27,108,19,20,1447,2724,2685,21,5447,,54,5028,523,2558,20,116,1922,153,139,266,2,5475,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-05-31,62024,,33,363,749,1214,245,5968,2319,491,911,406,3462,1384,3042,10079,34,133,24,48,1520,3472,2943,21,5542,,61,5196,569,2541,20,142,2146,164,141,279,2,5217,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-06-30,57994,,28,406,746,1045,219,5205,2613,475,840,380,2909,1202,2660,8024,42,139,26,35,1504,4335,2802,21,5447,,59,5196,576,2437,20,147,2253,163,138,271,2,4610,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-07-31,58754,,28,445,734,1168,218,4411,2831,501,846,386,3059,1208,2378,8186,50,154,24,29,1612,4811,2507,21,5620,,67,5152,578,2463,20,149,2261,163,146,285,2,5171,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-08-31,60605,,29,446,792,1247,222,4261,2949,499,857,419,3050,1254,2499,8402,52,165,25,25,1581,5032,2805,19,5488,,74,5521,568,2583,20,148,2276,150,149,282,2,5592,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-09-30,57063,,26,425,740,1098,211,4849,2594,493,870,419,2753,1231,2588,7615,54,157,23,26,1441,4147,2605,20,5460,,64,5228,585,2467,20,134,2110,153,150,280,2,4890,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-10-31,63176,,31,419,833,1080,235,6422,2389,486,1147,430,3213,1288,3482,10243,58,139,23,36,1619,3231,3077,23,5951,,69,5253,568,2458,20,101,1676,157,156,289,2,5430,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-11-30,60255,,33,394,732,1040,221,6061,2160,473,1194,435,3227,1286,4326,9689,51,138,23,30,1550,2571,3261,29,5229,,67,5118,562,2165,20,93,1469,142,144,273,2,4963,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2007-12-31,63706,,33,422,789,1093,232,6404,2389,558,1054,465,3655,1373,4681,10522,48,142,26,34,1594,2895,3390,27,5132,,72,5027,623,2159,20,101,1582,145,156,294,2,5461,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2008-01-31,65914,,38,368,761,1214,231,6468,2423,548,1116,457,3999,1388,4622,10663,44,111,25,30,1629,2981,3620,29,5453,,67,5333,662,2238,20,113,1682,148,155,288,2,5924,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2008-02-29,62294,,37,367,707,1197,216,5974,2263,510,1044,437,3832,1345,3989,9924,35,111,24,30,1591,2952,3441,29,5570,,59,5112,620,2227,20,101,1527,146,146,279,2,5422,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2008-03-31,66160,,44,418,821,1360,247,6627,2467,514,943,512,3666,1388,3993,10601,35,123,26,34,1758,3221,3602,24,5441,,64,5464,613,2724,20,101,1535,157,154,302,2,5984,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2008-04-30,63555,,44,418,831,1387,246,6581,2006,510,830,433,3673,1420,3429,10431,35,123,27,34,1696,2675,2765,23,5756,,64,5340,599,2773,20,114,1833,163,145,295,2,5711,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2008-05-31,64883,,45,419,866,1317,251,6231,2210,517,944,432,3713,1479,3219,10465,35,123,26,34,1690,3205,2860,24,5924,,64,5728,664,2678,18,135,2030,161,160,314,2,5778,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2008-06-30,61611,,44,419,874,1117,220,5468,2407,513,938,395,3220,1359,2779,9443,37,140,26,33,1601,3730,2669,24,6225,,64,5183,656,2578,20,139,2198,177,156,296,2,5384,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2008-07-31,67211,,37,495,900,1339,229,5315,3047,538,682,433,3546,1461,2716,10106,54,180,27,32,1752,5230,2980,23,6407,,71,5771,670,2791,20,155,2383,184,158,309,2,6031,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2008-08-31,64384,,38,490,1000,1324,223,4672,2871,519,842,457,3240,1475,2421,9365,57,199,29,33,1744,4721,2795,24,6500,,79,5598,667,2838,20,145,2322,181,147,298,2,5840,,,
Energy,Electricity,CEA,GWh,Monthly,NA,ENELDEMAND11M,Electricity Demand (Monthly),2008-09-30,63128,,33,464,875,1295,219,5270,2522,504,922,438,3196,1479,2869,8684,59,186,26,28,1721,4316,2925,23,5918,,69,5808,644,2718,20,127,2111,178,139,294,2,5855,,,
