CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1950-12-31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1951-12-31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1952-12-31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1953-12-31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1954-12-31,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1955-12-31,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1956-12-31,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1957-12-31,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1958-12-31,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1959-12-31,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
