CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1950-12-31,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1951-12-31,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1952-12-31,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1953-12-31,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1954-12-31,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1955-12-31,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1956-12-31,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1957-12-31,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1958-12-31,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1959-12-31,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1960-12-31,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1961-12-31,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1962-12-31,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1963-12-31,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1964-12-31,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1965-12-31,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1966-12-31,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1967-12-31,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1968-12-31,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1969-12-31,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1970-12-31,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1971-12-31,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1972-12-31,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1973-12-31,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1974-12-31,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1975-12-31,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1976-12-31,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1977-12-31,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1978-12-31,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1979-12-31,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1980-12-31,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1981-12-31,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1982-12-31,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1983-12-31,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1984-12-31,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1985-12-31,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1986-12-31,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1987-12-31,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1988-12-31,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
