CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-01-31,265905,6576,366,4265,4835,3448,1626,18571,17339,3596,4346,3679,23399,22511,8680,36958,597,1352,343,644,3912,13944,12450,374,20193,,466,22891,3205,7770,160,2004,14612,708,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-02-28,214229,6186,253,4027,4682,2791,1228,17812,14547,2556,3135,3624,15576,14330,8123,23959,589,824,268,447,3098,13769,12070,342,15838,,259,19090,4329,5841,123,2041,11820,563,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-03-31,228081,5349,312,3801,6478,2818,1809,15734,16068,2346,3346,3684,18449,16641,8560,28649,668,1079,272,714,3094,17025,11003,369,17109,,335,17621,3795,6176,123,2058,11915,608,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-04-30,222650,4833,479,4287,3551,2565,1247,17272,15001,2630,3648,3303,16505,20329,7050,27935,569,1219,302,718,3187,11674,10639,441,17981,,475,18005,3462,7293,139,1820,13407,651,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-05-31,212107,5093,395,4335,4424,2770,1092,16244,13434,2688,4160,3389,15676,15422,7071,25859,740,1108,294,588,2777,12417,12099,402,15641,,373,18876,3571,6031,123,1798,12589,567,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-06-30,184552,5149,367,3681,3757,2144,938,12135,11433,2017,3273,3225,15012,14405,7335,20201,527,1012,262,493,2506,11139,10554,410,14719,,373,16057,2737,5318,122,1420,11267,512,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-07-31,194871,4830,434,4193,4147,2145,1255,14110,12871,2216,3912,3210,15084,16033,5596,23597,581,1138,310,440,2911,11304,10038,354,15617,,333,15378,2914,5864,133,1409,11842,577,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-08-31,185160,1383,361,3602,3819,1953,1385,12296,10412,2237,2683,3171,16590,15994,5752,26445,594,1022,284,457,2488,12709,8970,297,14896,,397,13935,2670,5434,161,1623,10567,480,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-09-30,181729,515,374,3499,3664,2032,1553,14454,10897,1893,3116,2688,15121,19780,6157,24148,538,770,260,418,2482,10218,9859,328,14823,,355,12346,2586,5772,136,1364,8919,543,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-10-31,226127,4858,323,4392,3787,3054,2008,21508,10378,2708,3318,3011,17515,21292,6979,36456,596,797,359,459,3176,9722,11373,358,14959,,368,17297,3084,6497,151,1088,13514,511,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-11-30,208639,8013,364,4300,4931,3099,1429,16508,12877,4318,3306,3443,14779,14816,7571,27428,523,900,337,573,3434,10146,11451,296,12234,,388,17900,3266,5387,117,1861,12036,394,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2013-12-31,176997,4754,346,3844,4365,1933,1325,11981,16659,2963,3589,3772,9814,12735,6619,17560,530,679,280,386,2829,10920,11048,334,11228,,287,15484,3113,4815,148,1478,10597,414,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-01-31,253844,5200,391,4469,4089,2801,1844,17964,14537,3387,3547,3328,22520,21822,7939,35359,611,1140,295,558,3627,12981,11682,274,18795,,423,23099,4045,7399,144,2086,16736,620,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-02-28,180380,3206,250,3544,3881,1965,1120,14099,11572,2280,3216,3178,13714,13699,6747,19053,444,702,240,393,2638,11616,10479,295,12220,,343,17386,3131,4963,116,1329,11888,457,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-03-31,222763,5674,388,3741,4443,2336,1610,15183,15232,2436,3331,3283,17498,26474,7467,27937,465,801,292,486,3217,13263,11271,315,13978,,378,18715,3393,5280,134,1278,11865,482,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-04-30,204583,4771,319,3650,4098,2462,1240,16522,14650,3106,3753,1151,17584,8446,6876,26451,549,811,199,444,2939,10786,10493,319,14992,,312,20334,3741,6049,111,1754,15116,452,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-05-31,213541,4479,375,4479,4051,2568,1251,17695,13754,2757,3414,2961,16928,13461,7966,26986,546,783,214,498,3197,10319,13118,347,14971,,326,19572,3273,5565,162,1493,15344,530,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-06-30,201051,3998,348,3896,3834,2446,1167,14657,12460,2541,3533,3637,17099,15338,7228,23140,478,771,225,408,2894,9827,11777,344,15607,,314,18060,3219,5939,145,1180,13840,563,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-07-31,211249,5072,380,4100,3683,2306,1272,17682,12976,2744,3631,4142,14918,16046,7061,25502,490,849,229,527,3336,11916,11419,321,15726,,367,17511,3162,6661,209,1938,14367,567,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-08-31,194228,4845,339,3605,3234,2004,2084,14169,11784,2097,4143,3127,18029,17552,5912,25394,508,706,213,389,2653,9520,9891,331,14530,,359,14028,2698,5930,117,1279,12140,496,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-09-30,202836,5258,386,4219,3191,2070,1473,14625,11103,1959,2080,3108,18069,23670,5585,27442,455,812,201,521,3047,10498,9686,417,15725,,334,13260,2760,7199,182,1438,11359,603,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-10-31,219305,3909,341,4284,3650,3476,1895,23455,10080,3032,2839,2340,17311,16896,5442,36532,532,717,224,451,3792,5030,13138,338,12782,,337,20878,3510,5840,179,1275,14127,435,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-11-30,213069,5093,287,4353,4609,2976,1460,20430,13937,3758,3303,4057,15901,13944,8358,23682,513,716,221,516,3730,14109,11815,353,12267,,333,18050,4107,6418,151,1261,11746,394,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2014-12-31,199147,3958,321,4329,4072,2130,1639,16464,12256,2825,3168,4134,12054,14332,6624,25189,531,620,250,388,3276,15048,11611,239,12960,,335,15768,3009,6110,147,1618,13147,432,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2015-01-31,275170,6544,322,4451,4290,3142,1714,20250,17158,3809,3396,3693,25559,21659,7988,37924,595,833,200,523,4107,16328,13030,366,18523,,440,24829,4634,7402,165,1843,18658,604,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2015-02-28,212288,5622,313,4150,3625,2192,1192,19408,13606,2664,3622,3874,16602,14585,7605,22627,560,715,167,428,3388,13240,13179,353,14188,,296,20492,3408,5638,123,1521,12242,495,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2015-03-31,227506,4869,307,4477,3615,2183,1638,17014,16577,2693,3864,3065,18504,15886,7548,32410,522,666,212,458,2963,13258,13364,391,15053,,342,19798,3311,5737,154,1441,14506,561,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2015-04-30,218195,5206,375,3900,3232,2373,1293,18466,14546,3314,3694,3103,17707,14954,8906,27693,528,752,136,444,3116,11085,12074,398,14260,,306,19651,3813,5472,126,1377,15161,586,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2015-05-31,210875,4840,315,4154,3888,2418,1054,17916,13080,2956,3518,3647,17530,14557,7343,24909,531,645,168,478,2996,11086,12431,410,13961,,306,20035,3559,5641,108,1563,14226,473,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2015-06-30,210910,5039,321,3833,3770,2239,971,16661,13061,2923,4277,3481,17848,15797,7325,23457,528,738,180,525,3106,10891,11362,373,15440,,362,19654,3487,6049,140,1423,14991,546,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2015-07-31,205094,4779,320,3587,2881,3007,1231,15554,11180,2514,3638,3233,16246,16010,6659,26086,415,720,195,443,3158,10611,11106,349,15646,,389,18396,3086,6513,136,1227,15074,581,,,,,,,
