State,City,Location,Type of Area,Numbers of  monitoring days (n),Ammonia(NH3)-  Annual average (µg/m3),Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,Nacharam,Industrial,96,38,0,Low
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,95,48,0,Low
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,94,58,0,Moderate
Delhi,Delhi,Mayapuri Ind. Area,Industrial,95,76,0,Moderate
Delhi,Delhi,Sarojini Nagar,Residential and other,78,74,0,Moderate
Delhi,Delhi,Town Hall,Residential and other,96,76,0,Moderate
Maharashtra,Mumbai,Parel,Industrial,97,53,0,Moderate
Maharashtra,Mumbai,Worli,Residential and other,96,40,0,Low
Maharashtra,Mumbai,Kalbadevi,Residential and other,93,49,0,Low
Maharashtra,Nagpur,Hingna Road,Industrial,95,36,0,Low
Maharashtra,Nagpur,Maskasath,Residential and other,77,32,0,Low
Maharashtra,Nagpur,"NEERI Lab., Nehru Marg",Residential and other,92,31,0,Low
Tamil Nadu,Chennai,Thiruvottiyur Municipal Office,Industrial,85,24,0,Low
Tamil Nadu,Chennai,Madras Medical College,Residential and other,81,14,0,Low
Tamil Nadu,Chennai,NEERI CSIR Campus,Residential and other,88,14,0,Low
West Bengal,Kolkata,Cossipore,Industrial,96,7,0,Low
West Bengal,Kolkata,Lal Bazaar,Residential and other,95,7,0,Low
West Bengal,Kolkata,Kasba,Residential and other,94,8,0,Low
