State,City,Location,Type of Area,Numbers of  monitoring days (n),Ammonia(NH3)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,Nacharam,Industrial,95,47,16,0,Low
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,96,53,13,0,Moderate
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,95,62,18,0,Moderate
Delhi,Delhi,Mayapuri Ind. Area,Industrial,96,69,19,0,Moderate
Delhi,Delhi,Sarojini Nagar,Residential and other,96,64,18,0,Moderate
Delhi,Delhi,Town Hall,Residential and other,96,70,19,0,Moderate
Maharashtra,Mumbai,Parel,Industrial,93,73,84,2,Moderate
Maharashtra,Mumbai,Worli,Residential and other,96,49,44,0,Low
Maharashtra,Mumbai,Kalbadevi,Residential and other,87,45,28,0,Low
Maharashtra,Nagpur,Hingna Road,Industrial,94,19,13,0,Low
Maharashtra,Nagpur,Maskasath,Residential and other,97,25,17,0,Low
Maharashtra,Nagpur,"NEERI Lab., Nehru Marg",Residential and other,96,20,16,0,Low
Tamil Nadu,Chennai,Thiruvottiyur Municipal Office,Industrial,94,36,32,0,Low
Tamil Nadu,Chennai,Madras Medical College,Residential and other,90,41,37,0,Low
Tamil Nadu,Chennai,NEERI CSIR Campus,Residential and other,96,29,28,0,Low
West Bengal,Kolkata,Cossipore,Industrial,97,17,33,0,Low
West Bengal,Kolkata,Lal Bazaar,Residential and other,96,15,27,0,Low
West Bengal,Kolkata,Kasba,Residential and other,95,12,17,0,Low
