State,City,Location,Type,Numbers of  monitoring days (n),Nitrogen Dioxide(NO2)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Guntur,Hindu College Guntur,Rsidential and other,48,9,0,0,NA
Andhra Pradesh,Hydrabad,C.I.T.D. Balanagar,Industrial,109,27,4,0,Moderate
Andhra Pradesh,Hydrabad,Nacharam,Industrial,92,15,5,0,Low
Andhra Pradesh,Hydrabad,Uppal,Industrial,108,27,6,0,Moderate
Andhra Pradesh,Hydrabad,ABIDS Circle,Rsidential and other,95,24,6,0,Moderate
Andhra Pradesh,Hydrabad,Charminar,Rsidential and other,107,27,2,0,Moderate
Andhra Pradesh,Hydrabad,Jubilee Hills,Rsidential and other,108,16,4,0,Low
Andhra Pradesh,Hydrabad,Paradise,Rsidential and other,108,27,5,0,Moderate
Andhra Pradesh,Hydrabad,Tarnaka,Rsidential and other,96,18,5,0,Low
Andhra Pradesh,Hydrabad,Zoo Park,Sensitive,108,15,2,0,Low
Andhra Pradesh,Kakinada,OB Ramanyapeta,Rsidential and other,16,9,0,0,NA
Andhra Pradesh,Kurnool,Mourya Inn,Rsidential and other,99,9,0,0,Low
Andhra Pradesh,Nalgonda,RO APPCB,Rsidential and other,42,24,2,0,NA
Andhra Pradesh,Nellore,Venkatreddy Nagar,Rsidential and other,1,14,NA,0,NA
Andhra Pradesh,Patencheru,Police Station,Rsidential and other,107,25,4,0,Moderate
Andhra Pradesh,Ramagundam,RTC Bus Depot,Rsidential and other,84,14,10,0,Low
Andhra Pradesh,Tirupati,Reg.Science Center,Sensitive,96,9,0,0,Low
Andhra Pradesh,Vijaywada,Autonagar,Industrial,114,14,4,0,Low
Andhra Pradesh,Vijaywada,Benz Circle,Rsidential and other,114,13,2,0,Low
Andhra Pradesh,Visakhapatnam,"CWMP, RAMKY",Industrial,27,13,3,0,NA
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,105,29,15,2,Moderate
Andhra Pradesh,Visakhapatnam,Pedagantyada V,Industrial,27,17,5,0,NA
Andhra Pradesh,Visakhapatnam,Ganapuram Area,Rsidential and other,107,34,13,0,Moderate
Andhra Pradesh,Visakhapatnam,Panchayat Raj Office,Rsidential and other,101,23,10,0,Moderate
Andhra Pradesh,Visakhapatnam,Police Barracks,Rsidential and other,106,38,14,0,Moderate
Andhra Pradesh,Visakhapatnam,Seethammadhara,Rsidential and other,107,29,13,1,Moderate
Andhra Pradesh,Visakhapatnam,INS-VIRBAHU,Sensitive,108,28,11,0,Moderate
Andhra Pradesh,Warangal,KUDA Office,Rsidential and other,28,10,1,0,NA
Assam,Bongaigaon,Barpara Office Bldg,Rsidential and other,110,15,5,0,Low
Assam,Bongaigaon,Campus of Oil India,Rsidential and other,109,15,4,0,Low
Assam,Daranga,BATAD,Rsidential and other,92,13,5,0,Low
Assam,Dibrugarh,Dibrugarh Off. Bldg,Rsidential and other,103,13,2,0,Low
Assam,Golaghat,Golaghat Off. Bldg.,Rsidential and other,104,14,3,0,Low
Assam,Guwahati,Gopinath Nagar,Rsidential and other,234,15,3,0,Low
Assam,Guwahati,Head Office,Rsidential and other,244,18,7,0,Low
Assam,Guwahati,Santipur,Rsidential and other,241,16,5,0,Low
Assam,Hailakandi,CISF Campus,Rsidential and other,37,13,3,0,NA
Assam,Mergherita,Coal India Office,Rsidential and other,45,22,5,0,NA
Assam,Nagaon,Water resource Div.,Rsidential and other,7,18,4,0,NA
Assam,North Lakhimpur Town,Bazarpatti lakhimpur,Rsidential and other,40,15,3,0,NA
Assam,Sibsagar,Sibasagar Off. Bldg,Rsidential and other,102,13,3,0,Low
Assam,Silchar,Office Building RLO,Rsidential and other,93,15,3,0,Low
Assam,Tezpur,Tezpur Office Bldg,Rsidential and other,99,13,3,0,Low
Assam,Tinsukhia,Digboi carbon factor,Rsidential and other,18,14,1,0,NA
Bihar,Patna,Beltron Bhawan,Rsidential and other,79,23,9,0,Moderate
Bihar,Patna,Gandhi Maidan T C,Rsidential and other,44,51,20,7,NA
Bihar,Chandigarh,Industrial Area,Industrial,138,19,10,0,Low
Bihar,Chandigarh,Kaimbwala Village,Rsidential and other,145,12,6,0,Low
Bihar,Chandigarh,Punjab Eng College,Rsidential and other,140,12,7,0,Low
Chandigarh,Chandigarh,Sector-17 C,Rsidential and other,145,17,7,0,Low
Chandigarh,Chandigarh,Sector-39,Rsidential and other,144,15,8,0,Low
Chandigarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial,95,32,1,0,Moderate
Chandigarh,Bhilai Nagar,Regional Office,Rsidential and other,93,17,1,0,Low
Chandigarh,Bhilai Nagar,Visak Hostel,Rsidential and other,92,26,1,0,Moderate
Chandigarh,Korba," I.T.I, Rampur",Rsidential and other,101,22,1,0,Moderate
Chandigarh,Korba,Near Ghantaghar,Rsidential and other,104,21,1,0,Moderate
Chandigarh,Korba,Pragati Nagar,Rsidential and other,102,21,1,0,Moderate
Chattisgarh,Raipur,Wool Worth I.Pvt.Ltd,Industrial,35,48,2,0,NA
Chattisgarh,Raipur,"New HIG - 9, Hirapur",Rsidential and other,46,46,2,0,NA
Chattisgarh,Raipur,Yatayat Thana,Rsidential and other,40,45,2,0,NA
Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial,78,17,1,0,Low
Daman & Diu,Daman,Kadaiya Ind. Area,Industrial,76,19,4,0,Low
Delhi,Delhi,Mayapuri Indl. Area,Industrial,96,55,22,15,High
Delhi,Delhi,Shahdara,Industrial,74,43,12,0,High
Delhi,Delhi,Shahzada Bagh,Industrial,77,44,14,1,High
Delhi,Delhi,Janakpuri,Rsidential and other,77,56,6,0,High
Delhi,Delhi,N.Y. School,Rsidential and other,96,51,22,18,High
Delhi,Delhi,Nizamuddin,Rsidential and other,75,54,5,0,High
Delhi,Delhi,Pritampura,Rsidential and other,74,33,7,0,Moderate
Delhi,Delhi,Siri Fort,Rsidential and other,74,54,5,0,High
Delhi,Delhi,Town Hall,Rsidential and other,96,57,24,22,High
Goa,Mormugao,Mormugao Port Trust,Industrial,102,10,6,0,Low
Goa,Panaji,Near Old GSPCB,Rsidential and other,99,13,8,0,Low
Goa,Vasco,Electricity Deptt.,Industrial,78,18,9,0,Low
Gujarat,Ahmedabad,Naroda,Industrial,104,23,4,0,Moderate
Gujarat,Ahmedabad,Shardaban Hospital,Industrial,96,20,3,0,Low
Gujarat,Ahmedabad,Behrampura,Rsidential and other,103,21,3,0,Moderate
Gujarat,Ahmedabad,Cadilla Bridge Narol,Rsidential and other,101,24,5,0,Moderate
Gujarat,Ahmedabad,L.D. Eng. College,Rsidential and other,98,18,2,0,Low
Gujarat,Ahmedabad,R.C. High School,Rsidential and other,105,20,4,0,Low
Gujarat,Anklesvar,Rallies India Ltd,Industrial,105,28,5,0,Moderate
Gujarat,Anklesvar,Durga Traders,Rsidential and other,105,25,2,0,Moderate
Gujarat,Jamnagar,Fisheries Office,Rsidential and other,105,27,4,0,Moderate
Gujarat,Rajkot,Sardhara Indl.Corp.,Industrial,104,17,3,0,Low
Gujarat,Rajkot,Regional Office,Rsidential and other,100,14,2,0,Low
Gujarat,Surat,B.R.C. High School,Industrial,103,29,3,0,Moderate
Gujarat,Surat,Near A.I. Office,Rsidential and other,103,26,2,0,Moderate
Gujarat,Surat,S.V.R. Eng. College,Rsidential and other,106,23,3,0,Moderate
Gujarat,Vadodara,CETP,Industrial,105,45,3,0,High
Gujarat,Vadodara,Dandia Bazar,Rsidential and other,110,31,4,0,Moderate
Gujarat,Vadodara,GPCB Office,Rsidential and other,110,15,3,0,Low
Gujarat,Vapi,GEB,Industrial,98,24,2,0,Moderate
Gujarat,Vapi,Vapi Nagar Palika,Rsidential and other,104,23,2,0,Moderate
Haryana,Faridabad,"M/s Shivalik Global, Mathura Road, Faridabad",Industrial,NA,24,NA,NA,NA
Haryana,Faridabad,"HSPCB office, Ballabgard, Faridabad",Rsidential and other,NA,22,NA,NA,NA
Haryana,Hisar,Urban Estate-II,Rsidential and other,11,5,1,0,NA
Haryana,Yamunanagar,Ballarpur Industries,Industrial,34,27,4,0,NA
Himachal Pradesh,Baddi,AHC,Industrial,59,13,5,0,Low
Himachal Pradesh,Baddi,Industry Department,Industrial,78,13,4,0,Low
Himachal Pradesh,Baddi,Housing Board,Rsidential and other,31,9,2,0,NA
Himachal Pradesh,Damtal,Old Road,Rsidential and other,92,13,8,0,Low
Himachal Pradesh,Damtal,Regional Office,Rsidential and other,106,11,6,0,Low
Himachal Pradesh,Nahan,Industrial Area,Industrial,150,19,2,0,Low
Himachal Pradesh,Nahan,Trilok Pur,Rsidential and other,160,15,1,0,Low
Himachal Pradesh,Nalagarh,M.C.,Rsidential and other,63,13,4,0,Low
Himachal Pradesh,Paonta Sahib,Gondpur Indl. Area,Industrial,134,18,1,0,Low
Himachal Pradesh,Paonta Sahib,Paonta Sahib,Rsidential and other,133,15,1,0,Low
Himachal Pradesh,Parwanoo,AC Office Bldg.,Industrial,125,12,3,0,Low
Himachal Pradesh,Parwanoo,Central Laboratory,Rsidential and other,117,11,3,0,Low
Himachal Pradesh,Shimla,Bus Stand,Rsidential and other,132,12,5,0,Low
Himachal Pradesh,Shimla,Tekka Bench Ridge,Sensitive,127,7,3,0,Low
Jammu & Kashmir,Jammu,B.Brahmana,Industrial,38,14,4,0,NA
Jammu & Kashmir,Jammu,M.A.Stadium,Rsidential and other,45,12,3,0,NA
Jammu & Kashmir,Jammu,Regional Office,Rsidential and other,51,12,3,0,Low
Jharkhand,Dhanbad,Regional Office,Rsidential and other,47,41,9,2,NA
Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial,103,49,3,0,High
Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial,99,49,5,1,High
Jharkhand,Jharia,M.A.D.A.,Industrial,72,41,7,1,High
Jharkhand,Ranchi,Albert Ekka Chowk,Rsidential and other,84,32,3,0,Moderate
Jharkhand,Sindri,BIT,Industrial,66,40,6,0,Moderate
Karnataka,Bangalore,Graphite India,Industrial,97,42,3,0,High
Karnataka,Bangalore,KHB Indl Area,Industrial,95,38,4,0,Moderate
Karnataka,Bangalore,Peenya Indl. Area,Industrial,63,38,4,0,Moderate
Karnataka,Bangalore,AMCO Batteries,Rsidential and other,101,38,5,0,Moderate
Karnataka,Bangalore,R.V.College,Rsidential and other,6,23,1,NA,NA
