State,City,Location,Station code,Type,Category of ES,No. of mon. days (n),Min,Max,NO2 Annual average (µg/m3),10 percentile,90 percentile,Std. Dev.,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,582,RIRuO,NA,103,6,10,9,9,9,0,0,Low
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",583,RIRuO,NA,105,10,20,11,2,10,14,0,Low
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab. IICT Campus",150,RIRuO,NA,88,5,44,36,32,42,9,0,Moderate
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate",151,RIRuO,NA,87,6,44,37,34,42,8,0,Moderate
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office,152,RIRuO,NA,88,5,47,37,33,41,7,0,Moderate
Andhra Pradesh,Hydrabad,Balanagar,95,RIRuO,NA,108,18,54,29,21,41,8,0,Moderate
Andhra Pradesh,Hydrabad,"Uppal, Modern Foods & Industries IDA",203,RIRuO,NA,108,19,50,28,21,39,8,0,Moderate
Andhra Pradesh,Hydrabad,Jublee Hills,365,RIRuO,NA,109,11,37,19,14,27,5,0,Low
Andhra Pradesh,Hydrabad,Paradise,393,RIRuO,NA,107,13,47,24,17,35,7,0,Moderate
Andhra Pradesh,Hydrabad,Charminar,394,RIRuO,NA,106,16,43,25,20,32,5,0,Moderate
Andhra Pradesh,Hydrabad,Zoo Park,470,RIRuO,NA,108,10,53,15,12,17,5,0,Low
Andhra Pradesh,Hydrabad,"Jeedimetla Industrial Estate, Rangareddy Distt.",745,RIRuO,NA,95,20,53,28,22,35,7,0,Moderate
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,578,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Andhra Pradesh,Kothagudem,"CER Club, Khamam",581,RIRuO,NA,90,9,23,11,10,14,3,0,Low
Andhra Pradesh,Kurnool,Mourya Inn,466,RIRuO,NA,102,9,9,9,9,9,0,0,Low
Andhra Pradesh,Nalgonda,AP PCB Nalgonda,577,RIRuO,NA,108,5,18,15,14,17,2,0,Low
Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem ",580,RIRuO,NA,102,10,26,11,10,16,3,0,Low
Andhra Pradesh,Patencheru,"Police Station, Medak, Ramachadrapuram",468,RIRuO,NA,108,18,25,22,21,24,1,0,Moderate
Andhra Pradesh,Ramagundam ,"Godavarikhani, Ramagundam, Karimnagar",465,RIRuO,NA,81,5,49,11,5,18,7,0,Low
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",389,RIRuO,NA,103,6,9,9,9,9,0,0,Low
Andhra Pradesh,Vijaywada,Benz Circle,462,RIRuO,NA,115,10,22,12,11,15,2,0,Low
Andhra Pradesh,Vijaywada,Autonagar,469,RIRuO,NA,106,11,30,12,11,13,3,0,Low
Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda",579,RIRuO,NA,101,5,29,11,5,18,5,0,Low
Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",234,RIRuO,NA,107,9,30,11,9,19,5,0,Low
Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",233,RIRuO,NA,107,9,38,13,9,23,6,0,Low
