State,City,Location,Type,Numbers of  monitoring days (n),Particulate Matter Having Aerodynamic Diameter Less Than or Equal to 10 µm(PM10) -Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Guntur,Hindu College Guntur,Residential and other,48,85,9,6,NA
Andhra Pradesh,Hydrabad,C.I.T.D. Balanagar,Industrial,109,102,27,59,Critical
Andhra Pradesh,Hydrabad,Nacharam,Industrial,93,51,23,2,Moderate
Andhra Pradesh,Hydrabad,Uppal,Industrial,108,102,27,63,Critical
Andhra Pradesh,Hydrabad,ABIDS Circle,Residential and other,95,57,24,3,Moderate
Andhra Pradesh,Hydrabad,Charminar,Residential and other,107,107,15,68,Critical
Andhra Pradesh,Hydrabad,Jubilee Hills,Residential and other,108,56,31,5,Moderate
Andhra Pradesh,Hydrabad,Paradise,Residential and other,108,107,23,68,Critical
Andhra Pradesh,Hydrabad,Tarnaka,Residential and other,96,65,29,14,High
Andhra Pradesh,Hydrabad,Zoo Park,Sensitive,108,59,19,3,Moderate
Andhra Pradesh,Kakinada,OB Ramanyapeta,Residential and other,16,48,4,0,NA
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,99,81,16,9,High
Andhra Pradesh,Nalgonda,RO APPCB,Residential and other,42,101,18,62,NA
Andhra Pradesh,Nellore,Venkatreddy Nagar,Residential and other,1,118,NA,NA,NA
Andhra Pradesh,Patencheru,Police Station,Residential and other,107,87,30,18,High
Andhra Pradesh,Ramagundam,RTC Bus Depot,Residential and other,84,104,53,50,Critical
Andhra Pradesh,Tirupati,Reg.Science Center,Sensitive,96,41,5,0,Moderate
Andhra Pradesh,Vijaywada,Autonagar,Industrial,114,86,13,15,High
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,114,73,14,3,High
Andhra Pradesh,Visakhapatnam,"CWMP, RAMKY",Industrial,27,78,31,37,NA
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,105,92,34,33,Critical
Andhra Pradesh,Visakhapatnam,Pedagantyada V,Industrial,27,88,30,37,NA
Andhra Pradesh,Visakhapatnam,Ganapuram Area,Residential and other,107,125,38,72,Critical
Andhra Pradesh,Visakhapatnam,Panchayat Raj Office,Residential and other,102,84,29,27,High
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,106,95,31,42,Critical
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,107,89,26,32,High
Andhra Pradesh,Visakhapatnam,INS-VIRBAHU,Sensitive,108,66,21,6,High
Andhra Pradesh,Warangal,KUDA Office,Residential and other,28,69,26,11,NA
Assam,Bongaigaon,Barpara Office Bldg,Residential and other,110,69,42,21,High
Assam,Bongaigaon,Campus of Oil India,Residential and other,109,98,86,31,Critical
Assam,Daranga,BATAD,Residential and other,92,77,54,24,High
Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and other,103,41,26,8,Moderate
Assam,Golaghat,Golaghat Off. Bldg.,Residential and other,104,65,44,19,High
Assam,Guwahati,Gopinath Nagar,Residential and other,234,111,78,47,Critical
Assam,Guwahati,Head Office,Residential and other,244,140,103,55,Critical
Assam,Guwahati,Santipur,Residential and other,241,115,88,45,Critical
Assam,Hailakandi,CISF Campus,Residential and other,37,88,58,24,NA
Assam,Mergherita,Coal India Office,Residential and other,45,42,22,0,NA
Assam,Nagaon,Water resource Div.,Residential and other,7,161,41,NA,NA
Assam,North Lakhimpur Town,Bazarpatti lakhimpur,Residential and other,40,73,37,20,NA
Assam,Sibsagar,Sibasagar Off. Bldg,Residential and other,102,100,56,42,Critical
Assam,Silchar,Office Building RLO,Residential and other,93,58,31,8,Moderate
Assam,Tezpur,Tezpur Office Bldg,Residential and other,99,90,70,32,High
Assam,Tinsukhia,Digboi carbon factor,Residential and other,18,81,33,28,NA
Bihar,Patna,Beltron Bhawan,Residential and other,85,110,58,58,Critical
Bihar,Patna,Gandhi Maidan T C,Residential and other,46,182,109,83,NA
Bihar,Chandigarh,Industrial Area,Industrial,148,93,37,39,Critical
Bihar,Chandigarh,Kaimbwala Village,Residential and other,154,76,30,20,High
Bihar,Chandigarh,Punjab Eng College,Residential and other,150,78,32,22,High
Chandigarh,Chandigarh,Sector-17 C,Residential and other,154,77,29,20,High
Chandigarh,Chandigarh,Sector-39,Residential and other,153,80,30,20,High
Chandigarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial,96,159,14,100,Critical
Chandigarh,Bhilai Nagar,Regional Office,Residential and other,94,82,8,3,High
Chandigarh,Bhilai Nagar,Visak Hostel,Residential and other,92,96,12,30,Critical
Chandigarh,Korba," I.T.I, Rampur",Residential and other,101,125,20,96,Critical
Chandigarh,Korba,Near Ghantaghar,Residential and other,104,119,15,88,Critical
Chandigarh,Korba,Pragati Nagar,Residential and other,102,108,14,76,Critical
Chandigarh,Raipur,Wool Worth I.Pvt.Ltd,Industrial,25,265,24,100,NA
Chattisgarh,Raipur,"New HIG - 9, Hirapur",Residential and other,14,275,43,100,NA
Chattisgarh,Raipur,Yatayat Thana,Residential and other,45,250,36,100,NA
Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial,78,71,8,0,High
Daman & Diu,Daman,Kadaiya Ind. Area,Industrial,76,57,9,0,Moderate
Delhi,Delhi,Mayapuri Indl. Area,Industrial,96,274,121,94,Critical
Delhi,Delhi,Shahdara,Industrial,61,204,59,93,Critical
