State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Particulate Matter Having Aerodynamic Diameter Less Than or Equal to 10 µm(PM10) -Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala ,582,RIRuO,91,28,66,39,31,39,45,7,0,Moderate
Andhra Pradesh,Guntur,"Near Hindu College, Market Road ",583,RIRuO,102,64,97,81,73,82,90,7,0,High
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab. ",150,RIRuO,96,13,164,63,28,58,106,31,13,High
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate ",151,RIRuO,95,10,104,38,15,35,69,21,1,Moderate
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office Building ,152,RIRuO,95,18,145,73,33,71,115,31,21,High
Andhra Pradesh,Hydrabad,Balanagar ,95,RIRuO,108,57,160,103,84,102,122,17,55,Critical
Andhra Pradesh,Hydrabad,"Uppal, IDA ",203,RIRuO,108,64,170,100,78,99,120,18,46,Critical
Andhra Pradesh,Hydrabad,Jublee Hills ,365,RIRuO,108,28,277,63,40,58,84,30,8,High
Andhra Pradesh,Hydrabad,Paradise ,393,RIRuO,108,74,204,105,88,104,120,20,56,Critical
Andhra Pradesh,Hydrabad,Charminar ,394,RIRuO,108,72,175,104,82,105,120,18,59,Critical
Andhra Pradesh,Hydrabad,Zoo Park ,470,RIRuO,107,25,205,63,35,58,95,27,7,High
Andhra Pradesh,Kothagudem,"CER Club, Khamam ",581,RIRuO,103,41,87,62,54,60,74,8,3,High
Andhra Pradesh,Kurnool,Mourya Inn ,466,RIRuO,117,35,163,85,57,84,104,24,13,High
Andhra Pradesh,Nalgonda,"RO, APPCB ",577,RIRuO,108,47,146,85,66,83,110,18,19,High
Andhra Pradesh,Nellore,Kamakhya Temple ,580,RIRuO,94,52,78,65,59,64,71,6,0,High
Andhra Pradesh,Patencheru,"Police Station, Ramachadrapuram ",468,RIRuO,98,28,138,76,40,75,106,25,18,High
Andhra Pradesh,Ramagundam,Karimnagar Godavarikhani,465,RIRuO,99,9,168,68,28,61,121,37,17,High
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass
Road",389,RIRuO,98,23,52,37,31,37,43,5,0,Moderate
Andhra Pradesh,Vijaywada,Benz Circle ,462,RIRuO,113,50,158,84,60,75,118,25,23,High
Andhra Pradesh,Vijaywada,Autonagar ,469,RIRuO,113,51,169,102,62,95,147,34,45,Critical
Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda ",579,RIRuO,102,13,139,52,24,43,88,27,5,Moderate
Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi ",234,RIRuO,108,21,162,72,35,69,107,30,17,High
Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem ",233,RIRuO,108,12,178,70,33,63,126,35,19,High
Andhra Pradesh,Vishakhapatnam,Police Barracks ,371,RIRuO,108,14,218,96,45,91,156,43,40,Critical
Andhra Pradesh,Vishakhapatnam,"INS-Virabahu, Naval Area ",387,RIRuO,108,23,183,60,36,58,85,23,6,Moderate
Andhra Pradesh,Vishakhapatnam,Seethammadhara ,388,RIRuO,108,17,151,75,44,73,112,28,20,High
Andhra Pradesh,Vishakhapatnam,Ganapuram Area ,467,RIRuO,108,22,415,87,39,79,125,52,30,High
Andhra Pradesh,Vishakhapatnam,"Pedagantyada, Gajuwada ",584,RIRuO,117,15,152,68,33,61,113,32,21,High
Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",585,RIRuO,108,14,133,43,24,37,71,21,4,Moderate
Assam,Bongaigaon,Oil India Ltd. Chirang ,542,RIRuO,104,10,229,64,18,50,135,50,22,High
Assam,Bongaigaon,Barpara Office Building ,520,RIRuO,104,9,192,52,20,44,94,35,8,Moderate
Assam,Daranga,"BATAD, Baska",566,RIRuO,92,11,159,58,22,39,112,38,18,Moderate
Assam,Dibrugarh,Dibrugarh Office Building ,538,RIRuO,103,13,294,38,17,27,63,36,4,Moderate
Assam,Golaghat,Golaghat Office Building ,539,ES (Numaligarh),82,18,240,73,23,62,138,50,26,High
Assam,Guwahati,"Head Office, Bamunimaidam ",193,RIRuO,254,18,286,105,33,83,213,67,43,Critical
Assam,Guwahati,"Boragaon, office premises of IASST,Kamrup",603,RIRuO,33,31,284,71,39,58,105,45,15,Null
Assam,Guwahati,"Guwahati University, Kamrup ",602,RIRuO,82,13,157,64,28,65,101,30,11,High
Assam,Guwahati,"ITI Building, Gopinath Nagar ",519,RIRuO,280,19,350,111,37,79,222,74,44,Critical
Assam,Guwahati,"Central Dairy, Khanapara, Kamrup ",596,RIRuO,105,29,297,109,42,105,207,62,52,Critical
Assam,Guwahati,"Near Pragjyotish College, Santipur ",541,RIRuO,264,21,297,104,35,78,217,69,41,Critical
Assam,Lakhimpur,"Bazar Patti, North Lakhimpur ",587,RIRuO,102,15,201,76,26,59,149,49,31,High
Assam,Nagaon,"Water Resources Div., Christian Patty ",595,RIRuO,103,16,328,103,23,77,220,80,37,Critical
Assam,Nagaon,"Water Resources Div., Christian Patty",595,RIRuO,103,16,328,103,23,77,220,80,37,Critical
Assam,Nalbari,"PWD Rural Div Office Complex,",597,RIRuO,82,14,225,68,27,50,112,46,17,High
Assam,Sibsagar,Sibasagar Office Building,537,RIRuO,107,19,319,91,26,69,183,67,36,Critical
Assam,Sibsagar,"Usha Lodge, near ONGCL Colony",604,RIRuO,24,10,53,27,17,26,38,9,0,Null
Assam,Silchar,Janiganj Govt. Boys HS School,607,RIRuO,11,39,156,97,39,102,130,36,45,Null
Assam,Silchar,"Office Building of RLO, Ithkola Market",567,RIRuO,92,17,215,66,28,54,128,40,18,High
Assam,Tezpur,Tezpur Office Building,536,RIRuO,104,12,278,68,22,50,145,51,23,High
Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",594,RIRuO,99,9,220,59,21,38,122,44,21,Moderate
