State ,City,Location,Type,Category of ES,No. of mon. days (n),Min,Max,PM10 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,RIRuO,NA,72,20,47,39,35,43,4,0,Moderate
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",RIRuO,NA,69,70,78,74,72,77,2,0,High
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab. IICT Campus",RIRuO,NA,94,3,170,60,15,129,43,18,Moderate
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate",RIRuO,NA,94,16,171,61,24,107,34,14,High
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office,RIRuO,NA,95,14,277,83,29,145,49,27,High
Andhra Pradesh,Hydrabad,Balanagar,RIRuO,NA,110,34,267,111,46,171,47,58,Critical
Andhra Pradesh,Hydrabad,"Uppal, Modern Foods & Industries IDA",RIRuO,NA,107,33,234,104,56,163,42,48,Critical
Andhra Pradesh,Hydrabad,Jublee Hills,RIRuO,NA,108,28,166,84,42,127,33,28,High
Andhra Pradesh,Hydrabad,Paradise,RIRuO,NA,114,51,159,101,71,130,24,52,Critical
Andhra Pradesh,Hydrabad,Charminar,RIRuO,NA,117,39,180,104,56,149,35,57,Critical
Andhra Pradesh,Hydrabad,Zoo Park,RIRuO,NA,116,15,152,70,32,109,32,19,High
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,RIRuO,NA,44,51,75,59,55,64,4,0,Null
Andhra Pradesh,Kothagudem,"CER Club, Khamam",RIRuO,NA,71,28,188,81,64,99,20,8,High
Andhra Pradesh,Kurnool,Mourya Inn,RIRuO,NA,90,28,188,82,63,63,24,11,High
Andhra Pradesh,Nalgonda,AP PCB Nalgonda,RIRuO,NA,108,31,109,75,58,90,14,3,High
Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem",RIRuO,NA,60,55,69,63,59,66,3,0,High
Andhra Pradesh,Patencheru,"Police Station, Medak, Ramachadrapuram",RIRuO,NA,108,35,154,76,50,117,27,20,High
Andhra Pradesh,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",RIRuO,NA,91,6,264,65,19,117,44,18,High
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",RIRuO,NA,90,9,91,37,28,51,12,0,Moderate
Andhra Pradesh,Vijaywada,Benz Circle,RIRuO,NA,73,65,120,88,75,112,13,18,High
Andhra Pradesh,Vijaywada,Autonagar,RIRuO,NA,70,58,145,91,76,118,17,24,Critical
Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda",RIRuO,NA,91,10,229,61,24,103,34,15,High
Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",RIRuO,NA,87,21,124,66,32,102,27,13,High
Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",RIRuO,NA,82,14,228,70,35,118,36,16,High
Andhra Pradesh,Vishakhapatnam,Police Barracks,RIRuO,NA,79,45,288,136,72,216,55,73,Critical
Andhra Pradesh,Vishakhapatnam,"INS-Virabahu, Naval Area",RIRuO,NA,77,24,173,69,34,106,32,12,High
Andhra Pradesh,Vishakhapatnam,Seethammadhara,RIRuO,NA,80,27,150,70,39,105,26,14,High
Andhra Pradesh,Vishakhapatnam,Ganapuram Area,RIRuO,NA,80,34,308,114,65,175,50,53,Critical
Andhra Pradesh,Vishakhapatnam,"Pedagantyada, Gajuwada",RIRuO,NA,69,20,157,66,37,104,29,13,High
Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",RIRuO,NA,71,15,178,47,22,76,25,1,Moderate
Assam,Bongaigaon,"Oil India Ltd. PS-6, Chirang",RIRuO,NA,103,31,72,54,42,67,9,0,Moderate
Assam,Bongaigaon,Barpara Office Building,RIRuO,NA,104,30,67,51,43,61,8,0,Moderate
