State,City,Location,Type,Numbers of  monitoring days (n),Respirable Suspended Particulate Matter(RSPM)- Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,Nacharam,Industrial,83,54,22,0,Low
Andhra Pradesh,Hyderabad,CITD Balanagar,Industrial,100,98,32,11,Moderate
Andhra Pradesh,Hyderabad,Uppal,Industrial,95,99,28,3,Moderate
Andhra Pradesh,Hyderabad,Jublee Hills,Residential and other,98,57,18,2,Moderate
Andhra Pradesh,Hyderabad,Charminar,Residential and other,97,99,20,51,Critical
Andhra Pradesh,Hyderabad,Paradise,Residential and other,105,104,26,58,Critical
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,91,67,29,15,High
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,89,80,40,26,High
Andhra Pradesh,Hyderabad,Zoo Park,Sensitive,95,59,30,17,High
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,121,92,13,0,Moderate
Andhra Pradesh,Visakhapatnam,Mindi,Residential and other,111,103,13,68,Critical
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,118,101,18,49,Critical
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,118,92,16,20,Critical
Andhra Pradesh,Visakhapatnam,Naval Area,Sensitive,117,79,15,55,Critical
Andhra Pradesh,Visakhapatnam,Ganapuram,Residential and other,90,141,34,86,Critical
Andhra Pradesh,Tirupati,Regional Science Centre,Sensitive,87,34,9,0,Moderate
Andhra Pradesh,Vijaywada,Auto Nagar,Industrial,89,92,11,0,Moderate
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,101,81,9,0,High
Andhra Pradesh,Patancheru,Police Station,Residential and other,55,43,9,0,Moderate
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,90,80,21,7,High
Assam,Guwahati,Bamunimaidam,Residential and other,300,116,89,48,Critical
Assam,Guwahati,Fire Brigade Station,Residential and other,290,113,75,46,Critical
Assam,Guwahati,ITI Building Goipnath Nagar,Residential and other,251,85,72,29,High
Assam,Guwahati,Near Pragiyotish College,Residential and other,29,154,23,100,NA
Assam,Bongaigaon,Borpara Boards Regional Office,Residential and other,50,32,19,0,Moderate
Assam,Dibrugarh,Dibrugarh Office Building,Residential and other,33,49,30,9,NA
Assam,Golaghat,Golaghat Office Buliding,Residential and other,38,67,39,24,NA
Assam,Sivasagar,Sivasagar Office Building,Residential and other,40,60,31,13,NA
Assam,Tezpur,Tezpur Office Building,Residential and other,50,58,45,18,Moderate
Assam,Hailakandi,CISF Campus,Residential and other,37,35,17,0,NA
Bihar,Patna,Beltron Bhavan,Residential and other,93,94,10,27,Critical
Bihar,Patna,Gandhi Maidan,Residential and other,76,132,20,96,Critical
Chandigarh,Chandigarh,Industrial Area,Industrial,152,138,60,38,High
Chandigarh,Chandigarh,Sector –17C,Residential and other,145,88,36,35,High
Chandigarh,Chandigarh,Punjab Engg. College,Residential and other,140,93,48,39,Critical
Chandigarh,Chandigarh,"IMTECH, Sector 39",Residential and other,151,102,48,47,Critical
Chandigarh,Chandigarh,Kaimbwala Village,Residential and other,156,100,47,44,Critical
Chattisgarh,Korba,ITI Rampur,Residential and other,93,98,15,46,Critical
Chattisgarh,Bhilai,Laghu Udyog Nigam I.A.,Industrial,78,169,16,83,High
Chattisgarh,Bhilai,Vishak Hostel,Residential and other,89,118,21,85,Critical
Chattisgarh,Bhilai,Regional Office Bunglow Office Building,Residential and other,91,90,11,19,Critical
Chattisgarh,Raipur,M/s Wool Worth (I) Ltd,Industrial,76,181,34,78,Critical
Chattisgarh,Raipur,"New HIG – 9, Hirapur",Residential and other,89,154,35,94,Critical
Chattisgarh,Raipur,Yatayat Thane,Residential and other,80,123,25,80,Critical
Delhi,Delhi,Mayapuri Industrial Area,Industrial,96,203,100,66,Critical
Delhi,Delhi,Shahzada Bagh,Industrial,60,162,67,53,High
Delhi,Delhi,Shahdara,Industrial,73,158,87,43,High
Delhi,Delhi,Sarojini Nagar,Residential and other,95,158,91,70,Critical
Delhi,Delhi,Town hall,Residential and other,96,149,96,65,Critical
Delhi,Delhi,Nizamuddin,Residential and other,64,123,67,56,Critical
Delhi,Delhi,Pritam Pura,Residential and other,47,133,73,60,NA
Delhi,Delhi,Siri Fort,Residential and other,67,135,84,61,Critical
Delhi,Delhi,Janakpuri,Residential and other,70,155,76,76,Critical
Goa,Vasco,"On the roof of Fuse Call Office, Elec. Dept.",Industrial,103,64,32,3,Moderate
Goa,Vasco,Mormugao Port Trust,Industrial,102,36,20,0,Low
Goa,Panjim,"Patto, Panaji",Residential and other,103,48,31,3,Moderate
Gujarat,Ahmedabad,Naroda GIDC,Industrial,104,143,21,42,High
Gujarat,Ahmedabad,Shardaben Hospital,Industrial,100,92,22,0,Moderate
Gujarat,Ahmedabad,"Cadilla Bridge, Narol",Residential and other,104,121,23,82,Critical
Gujarat,Ahmedabad,L. D. Engineering College,Residential and other,103,74,27,21,High
Gujarat,Ahmedabad,R.C.High school,Residential and other,95,98,28,38,Critical
