State,City,Station,Type,Numbers of  monitoring days (n),Sulfur Dioxide(SO2)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Guntur,Hindu College Guntur,Residential and other,48,4,0,0,NA
Andhra Pradesh,Hydrabad,C.I.T.D. Balanagar,Industrial,109,5,3,0,Low
Andhra Pradesh,Hydrabad,Nacharam,Industrial,94,3,1,0,Low
Andhra Pradesh,Hydrabad,Uppal,Industrial,108,5,3,0,Low
Andhra Pradesh,Hydrabad,ABIDS Circle,Residential and other,95,5,2,0,Low
Andhra Pradesh,Hydrabad,Charminar,Residential and other,107,5,1,0,Low
Andhra Pradesh,Hydrabad,Jubilee Hills,Residential and other,108,5,2,0,Low
Andhra Pradesh,Hydrabad,Paradise,Residential and other,108,5,4,0,Low
Andhra Pradesh,Hydrabad,Tarnaka,Residential and other,96,4,1,0,Low
Andhra Pradesh,Hydrabad,Zoo Park,Sensitive,108,5,1,0,Low
Andhra Pradesh,Kakinada,OB Ramanyapeta,Residential and other,16,4,0,0,NA
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,99,4,0,0,Low
Andhra Pradesh,Nalgonda,RO APPCB,Residential and other,42,5,2,0,NA
Andhra Pradesh,Nellore,Venkatreddy Nagar,Residential and other,1,6,NA,0,NA
Andhra Pradesh,Patencheru,Police Station,Residential and other,107,16,3,0,Low
Andhra Pradesh,Ramagundam,RTC Bus Depot,Residential and other,84,4,0,0,Low
Andhra Pradesh,Tirupati,Reg.Science Center,Sensitive,96,4,0,0,Low
Andhra Pradesh,Vijaywada,Autonagar,Industrial,114,5,1,0,Low
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,114,5,0,0,Low
Andhra Pradesh,Visakhapatnam,"CWMP, RAMKY",Industrial,27,5,2,0,NA
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,105,17,27,5,Low
Andhra Pradesh,Visakhapatnam,Pedagantyada V,Industrial,27,7,4,0,NA
Andhra Pradesh,Visakhapatnam,Ganapuram Area,Residential and other,107,14,8,0,Low
Andhra Pradesh,Visakhapatnam,Panchayat Raj Office,Residential and other,101,9,8,0,Low
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,106,14,8,0,Low
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,107,8,4,0,Low
Andhra Pradesh,Visakhapatnam,INS-VIRBAHU,Sensitive,108,11,6,0,Moderate
Andhra Pradesh,Warangal,KUDA Office,Residential and other,28,4,0,0,NA
Assam,Bongaigaon,Barpara Office Bldg,Residential and other,110,6,2,0,Low
Assam,Bongaigaon,Campus of Oil India,Residential and other,109,6,2,0,Low
Assam,Daranga,BATAD,Residential and other,92,5,3,0,Low
Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and other,103,5,1,0,Low
Assam,Golaghat,Golaghat Off. Bldg.,Residential and other,104,6,2,0,Low
Assam,Guwahati,Gopinath Nagar,Residential and other,234,7,2,0,Low
Assam,Guwahati,Head Office,Residential and other,244,9,4,0,Low
Assam,Guwahati,Santipur,Residential and other,241,8,3,0,Low
Assam,Hailakandi,CISF Campus,Residential and other,37,6,2,0,NA
Assam,Mergherita,Coal India Office,Residential and other,45,12,3,0,NA
Assam,Nagaon,Water resource Div.,Residential and other,7,7,1,0,NA
Assam,North Lakhimpur Town,Bazarpatti lakhimpur,Residential and other,40,6,2,0,NA
Assam,Sibsagar,Sibasagar Off. Bldg,Residential and other,102,5,2,0,Low
Assam,Silchar,Office Building RLO,Residential and other,93,6,2,0,Low
Assam,Tezpur,Tezpur Office Bldg,Residential and other,99,6,1,0,Low
Assam,Tinsukhia,Digboi carbon factor,Residential and other,18,6,1,0,NA
Bihar,Patna,Beltron Bhawan,Residential and other,72,4,2,0,Low
Bihar,Patna,Gandhi Maidan T C,Residential and other,40,7,4,0,NA
Bihar,Chandigarh,Industrial Area,Industrial,139,2,0,0,Low
Bihar,Chandigarh,Kaimbwala Village,Residential and other,145,2,0,0,Low
