State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Sulfur Dioxide(SO2)-  Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,582,RIRuO,93,4,4,4,4,4,4,Null,0,Low
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",583,RIRuO,102,2,2,2,2,2,2,Null,0,Low
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab.",150,RIRuO,94,2,8,4,2,4,7,2,0,Low
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate",151,RIRuO,88,2,7,4,2,3,6,1,0,Low
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office Building,152,RIRuO,92,3,11,7,4,7,9,2,0,Low
Andhra Pradesh,Hydrabad,Balanagar,95,RIRuO,108,4,6,5,5,5,5,Null,0,Low
Andhra Pradesh,Hydrabad,"Uppal, IDA",203,RIRuO,108,4,6,5,5,5,5,Null,0,Low
Andhra Pradesh,Hydrabad,Jublee Hills,365,RIRuO,108,4,5,4,4,4,5,Null,0,Low
Andhra Pradesh,Hydrabad,Paradise,393,RIRuO,108,4,6,5,5,5,5,Null,0,Low
Andhra Pradesh,Hydrabad,Charminar,394,RIRuO,108,4,6,5,5,5,5,Null,0,Low
Andhra Pradesh,Hydrabad,Zoo Park,470,RIRuO,107,4,5,4,4,4,5,Null,0,Low
Andhra Pradesh,Kothagudem,"CER Club, Khamam",581,RIRuO,103,2,2,2,2,2,2,Null,0,Low
Andhra Pradesh,Kurnool,Mourya Inn,466,RIRuO,118,4,4,4,4,4,4,Null,0,Low
Andhra Pradesh,Nalgonda,"RO, APPCB",577,RIRuO,108,4,5,5,4,5,5,Null,0,Low
Andhra Pradesh,Nellore,Kamakhya Temple,580,RIRuO,94,2,2,2,2,2,2,Null,0,Low
Andhra Pradesh,Patencheru,"Police Station, Ramachadrapuram",468,RIRuO,98,7,17,11,9,11,15,2,0,Low
Andhra Pradesh,Ramagundam,Karimnagar Godavarikhani,465,RIRuO,98,2,13,4,2,3,9,3,0,Low
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor BypassRoad",389,RIRuO,104,4,4,4,4,4,4,Null,0,Low
Andhra Pradesh,Vijaywada,Benz Circle,462,RIRuO,113,2,7,4,3,4,6,1,0,Low
Andhra Pradesh,Vijaywada,Autonagar,469,RIRuO,113,3,15,7,3,6,13,4,0,Low
Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda",579,RIRuO,102,2,18,4,2,2,7,3,0,Low
Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",234,RIRuO,108,4,127,9,4,6,13,14,1,Low
Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",233,RIRuO,108,4,24,5,4,4,8,3,0,Low
Andhra Pradesh,Vishakhapatnam,Police Barracks,371,RIRuO,108,4,17,7,4,7,10,3,0,Low
Andhra Pradesh,Vishakhapatnam,"INS-Virabahu, Naval Area",387,RIRuO,108,4,27,6,4,5,10,3,0,Low
Andhra Pradesh,Vishakhapatnam,Seethammadhara,388,RIRuO,107,4,18,6,4,5,8,2,0,Low
Andhra Pradesh,Vishakhapatnam,Ganapuram Area,467,RIRuO,108,4,61,10,4,10,15,8,0,Low
Andhra Pradesh,Vishakhapatnam,"Pedagantyada, Gajuwada",584,RIRuO,117,4,15,5,4,4,7,2,0,Low
Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",585,RIRuO,108,4,16,4,4,4,5,1,0,Low
Assam,Bongaigaon,Oil India Ltd. Chirang,542,RIRuO,104,3,10,6,5,6,8,1,0,Low
Assam,Bongaigaon,Barpara Office Building,520,RIRuO,104,3,10,7,5,7,8,1,0,Low
Assam,Daranga,"BATAD, Baska",566,RIRuO,92,3,10,5,4,6,7,1,0,Low
Assam,Dibrugarh,Dibrugarh Office Building,538,RIRuO,103,4,10,6,5,6,8,1,0,Low
Assam,Golaghat,Golaghat Office Building,539,ES (Numaligarh),82,3,8,6,4,6,8,1,0,Low
Assam,Guwahati,"Head Office, Bamunimaidam",193,RIRuO,254,3,11,7,5,7,9,1,0,Low
Assam,Guwahati,"Boragaon, office premises of IASST, Kamrup",603,RIRuO,33,3,11,6,5,6,7,1,0,Null
Assam,Guwahati,"Guwahati University, Kamrup",602,RIRuO,82,3,8,6,5,6,7,1,0,Low
