State,City,Location,Type,Numbers of  monitoring days (n),Suspended Particulate Matter(SPM)- Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Hyderabad,Nacharam,Industrial,91,117,32,0,Low
Andhra Pradesh,Hyderabad,CITD Balanagar,Industrial,107,301,70,0,Moderate
Andhra Pradesh,Hyderabad,Uppal,Industrial,108,268,73,0,Moderate
Andhra Pradesh,Hyderabad,Jublee Hills,Residential and other,108,128,39,4,Moderate
Andhra Pradesh,Hyderabad,Charminar,Residential and other,107,299,58,94,Critical
Andhra Pradesh,Hyderabad,Paradise,Residential and other,108,299,44,97,Critical
Andhra Pradesh,Hyderabad,Tarnaka,Residential and other,95,176,55,33,High
Andhra Pradesh,Hyderabad,ABIDS Circle,Residential and other,89,185,54,35,High
Andhra Pradesh,Hyderabad,Zoo Park,Sensitive,110,134,48,75,Critical
Andhra Pradesh,Visakhapatnam,Industrial Estate,Industrial,120,183,20,0,Moderate
Andhra Pradesh,Visakhapatnam,Mindi,Residential and other,120,196,26,39,High
Andhra Pradesh,Visakhapatnam,Police Barracks,Residential and other,120,207,32,58,High
Andhra Pradesh,Visakhapatnam,Seethammadhara,Residential and other,118,181,22,14,High
Andhra Pradesh,Visakhapatnam,Ganapuram,Residential and other,119,184,26,13,High
Andhra Pradesh,Visakhapatnam,Naval Area,Sensitive,119,158,16,100,Critical
Andhra Pradesh,Tirupati,Regional Science Centre,Sensitive,103,86,8,2,High
Andhra Pradesh,Vijaywada,Auto Nagar,Industrial,107,242,40,0,Moderate
Andhra Pradesh,Vijaywada,Benz Circle,Residential and other,109,180,26,21,High
Andhra Pradesh,Patancheru,Police Station,Residential and other,30,339,329,37,NA
Andhra Pradesh,Kurnool,Mourya Inn,Residential and other,109,167,37,10,High
Andhra Pradesh,Ramagundam,RTC Bus Depot,Residential and other,65,213,98,52,Critical
Assam,Guwahati,Bamunimaidam Head Office,Residential and other,298,189,138,34,High
Assam,Guwahati,Fire Brigade Station,Residential and other,268,146,76,24,High
Assam,Guwahati,ITI Building Goipnath Nagar,Residential and other,278,143,74,21,High
Assam,Guwahati,Near Pragiyotish College,Residential and other,253,137,69,21,Moderate
Assam,Bongaigaon,Borpara Boards Regional Office,Residential and other,98,84,39,1,Moderate
Assam,Bongaigaon,Campus of Oil India Ltd.,Residential and other,94,92,68,11,Moderate
Assam,Dibrugarh,Dibrugarh Office Building,Residential and other,94,107,47,9,Moderate
Assam,Golaghat,Golaghat Office Buliding,Residential and other,100,102,54,5,Moderate
Assam,Sivasagar,Sivasagar Office Building,Residential and other,58,140,60,17,High
Assam,Tezpur,Tezpur Office Building,Residential and other,98,128,83,16,Moderate
Assam,Hailakandi,CISF Campus,Residential and other,96,85,51,5,Moderate
Bihar,Patna,Beltron Bhavan,Residential and other,138,275,41,99,Critical
Bihar,Patna,Gandhi Maidan,Residential and other,51,348,53,98,Critical
Chandigarh,Chandigarh,Industrial Area,Industrial,151,291,109,3,Moderate
Chandigarh,Chandigarh,Sector –17C,Residential and other,151,184,72,37,High
Chandigarh,Chandigarh,Punjab Engg. College,Residential and other,149,197,87,44,High
Chandigarh,Chandigarh,"IMTECH, Sector 39",Residential and other,132,197,77,55,High
Chandigarh,Chandigarh,Kaimbwala Village,Residential and other,148,217,92,52,Critical
Chattisgarh,Korba,Pragati Nagar,Residential and other,99,193,19,36,High
Chattisgarh,Korba,"HIG 21, 22, MP Nagar (Extn)",Residential and other,94,212,19,77,Critical
Chattisgarh,Korba,ITI Rampur,Residential and other,93,215,16,85,Critical
Chattisgarh,Bhilai,Laghu Udyog Nigam I.A.,Industrial,95,259,22,0,Moderate
Chattisgarh,Bhilai,Vishak Hostel,Residential and other,92,182,12,4,High
Chattisgarh,Bhilai,Regional Office Bunglow Office Building,Residential and other,101,160,16,1,High
Chattisgarh,Raipur,M/s Wool Worth (I) Limited,Industrial,92,304,37,0,Moderate
Chattisgarh,Raipur,"New HIG – 9, Hirapur",Residential and other,84,241,37,83,Critical
Chattisgarh,Raipur,Yatayat Thane,Residential and other,80,205,24,58,Critical
Delhi,Delhi,Mayapuri Industrial Area,Industrial,96,461,240,40,High
Delhi,Delhi,Shahzada Bagh,Industrial,78,378,183,26,High
Delhi,Delhi,Shahdara,Industrial,78,440,173,35,High
Delhi,Delhi,Sarojini Nagar,Residential and other,79,305,164,66,Critical
Delhi,Delhi,Town hall,Residential and other,95,476,224,92,Critical
Delhi,Delhi,Nizamuddin,Residential and other,72,347,181,81,Critical
