State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Suspended Particulate Matter(SPM)- Annual average (µg/m3),Standard Deviation
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,582,RIRuO,91,86,137,112,13
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",583,RIRuO,102,157,285,206,24
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab.",150,RIRuO,96,48,345,170,54
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate",151,RIRuO,95,21,225,107,47
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office Building,152,RIRuO,95,58,300,156,56
Andhra Pradesh,Hydrabad,Balanagar,95,RIRuO,108,194,413,302,38
Andhra Pradesh,Hydrabad,"Uppal, IDA",203,RIRuO,108,183,361,282,37
Andhra Pradesh,Hydrabad,Jublee Hills,365,RIRuO,108,69,379,167,52
Andhra Pradesh,Hydrabad,Paradise,393,RIRuO,108,204,536,298,39
Andhra Pradesh,Hydrabad,Charminar,394,RIRuO,108,202,397,296,36
Andhra Pradesh,Hydrabad,Zoo Park,470,RIRuO,107,70,338,174,60
Andhra Pradesh,Kothagudem,"CER Club, Khamam",581,RIRuO,103,86,178,124,18
Andhra Pradesh,Kurnool,Mourya Inn,466,RIRuO,117,133,400,214,56
Andhra Pradesh,Nalgonda,"RO, APPCB",577,RIRuO,108,118,315,192,36
Andhra Pradesh,Nellore,Kamakhya Temple,580,RIRuO,94,88,156,130,13
Andhra Pradesh,Patencheru,"Police Station, Ramachadrapuram",468,RIRuO,98,81,301,188,51
Andhra Pradesh,Ramagundam,Karimnagar Godavarikhani,465,RIRuO,99,39,788,224,133
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass Road",389,RIRuO,98,77,151,110,15
Andhra Pradesh,Vijaywada,Benz Circle,462,RIRuO,113,128,331,224,51
Andhra Pradesh,Vijaywada,Autonagar,469,RIRuO,113,120,430,261,86
Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda",579,RIRuO,102,43,351,140,65
Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",234,RIRuO,108,50,267,133,44
Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",233,RIRuO,108,29,388,152,72
Andhra Pradesh,Vishakhapatnam,Police Barracks,371,RIRuO,108,33,491,222,97
Andhra Pradesh,Vishakhapatnam,"INS-Virabahu, Naval Area",387,RIRuO,108,47,356,120,45
Andhra Pradesh,Vishakhapatnam,Seethammadhara,388,RIRuO,108,49,361,156,58
Andhra Pradesh,Vishakhapatnam,Ganapuram Area,467,RIRuO,108,49,797,192,108
Andhra Pradesh,Vishakhapatnam,"Pedagantyada, Gajuwada",584,RIRuO,117,33,262,131,51
Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",585,RIRuO,108,33,207,87,33
Assam,Bongaigaon,Oil India Ltd. Chirang,542,RIRuO,104,29,403,121,98
Assam,Bongaigaon,Barpara Office Building,520,RIRuO,104,22,419,104,74
Assam,Daranga,"BATAD, Baska",566,RIRuO,92,30,347,123,79
Assam,Dibrugarh,Dibrugarh Office Building,538,RIRuO,103,26,332,81,49
Assam,Golaghat,Golaghat Office Building,539,ES (Numaligarh),82,28,340,123,73
Assam,Guwahati,"Head Office, Bamunimaidam",193,RIRuO,254,29,599,194,119
Assam,Guwahati,"Guwahati University, Kamrup",602,RIRuO,82,35,408,130,64
Assam,Guwahati,"ITI Building, Gopinath Nagar",519,RIRuO,280,40,597,202,128
Assam,Guwahati,"Central Dairy, Khanapara, Kamrup",596,RIRuO,106,56,494,190,98
Assam,Guwahati,"Near Pragjyotish College, Santipur",541,RIRuO,264,36,539,178,112
Assam,Lakhimpur,"Bazar Patti, North Lakhimpur",587,RIRuO,102,38,348,143,81
Assam,Nagaon,"Water Resources Div., Christian Patty",595,RIRuO,103,32,649,198,137
Assam,Nalbari,"PWD Rural Div Office Complex,",597,RIRuO,82,30,418,139,84
Assam,Sibsagar,Sibasagar Office Building,537,RIRuO,107,33,399,147,83
Assam,Silchar,"Office Building of RLO, Ithkola Market",567,RIRuO,92,37,376,125,61
Assam,Tezpur,Tezpur Office Building,536,RIRuO,104,24,606,135,95
Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",594,RIRuO,99,22,252,136,61
Assam,Tinsukia,"Coal India Office Complex, Margherita",586,RIRuO,97,22,352,96,56
