state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total,,
State,,,,,,,,,,,,,,,,,,
A & N Islands,1.1,Total number of pregnant women Registered for ANC,TOTAL,458,499,530,550,501,501,534,497,554,459,588,517,6188,,
,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,363,345,370,382,332,323,382,382,380,329,432,385,4405,,
,1.2,Number of Pregnant women registered under JSY,TOTAL,19,23,19,19,28,19,19,21,28,18,27,12,252,,
,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,388,430,387,395,400,443,449,417,455,394,428,406,4992,,
,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,329,396,411,360,381,348,389,385,419,329,425,382,4554,,
,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,347,406,392,432,359,430,403,446,438,384,398,455,4890,,
,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,414,492,419,512,467,442,349,459,294,413,392,413,5066,,
,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,18,16,27,12,19,27,18,11,15,17,12,23,215,,
,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,,,,2,2,,,,,,,,4,,
,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,483,852,489,759,536,757,609,445,405,493,487,534,6849,,
,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,7,12,13,24,16,17,4,12,23,9,34,8,179,,
,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,,,
,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,14,7,5,5,6,5,11,13,16,13,19,12,126,,
,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,8,8,13,11,17,26,5,21,15,13,8,5,150,,
,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,22,15,18,16,23,31,16,34,31,26,27,17,276,,
,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,22,14,18,16,19,31,15,32,29,25,19,15,255,,
,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,3,2,2,,1,1,1,2,2,1,,1,16,,
,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,399,403,403,405,392,404,412,423,427,385,393,410,4856,,
,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,297,308,281,302,279,290,348,330,260,284,311,321,3611,,
,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,20,24,18,29,23,27,19,20,17,16,16,10,239,,
