state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total
State,,,,,,,,,,,,,,,,
A & N Islands,1.1,Total number of pregnant women Registered for ANC,TOTAL,445,513,465,526,465,540,483,572,537,492,394,507,5939
,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,379,388,325,389,350,441,360,474,435,372,330,380,4623
,1.2,Number of Pregnant women registered under JSY,TOTAL,32,38,38,29,38,40,50,57,44,43,52,53,514
,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,445,400,348,365,421,423,370,384,448,367,391,393,4755
,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,371,389,355,396,348,450,404,462,420,368,318,370,4651
,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,371,451,429,419,442,401,412,422,540,428,385,421,5121
,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,1805,4822,1398,1928,2738,1426,4356,5498,2609,6230,3612,3023,39445
,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,22,15,12,6,14,16,10,14,13,23,33,95,273
,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,8,1,0,0,0,0,0,4,4,4,2,11,34
,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,653,659,861,564,649,657,626,695,817,563,600,662,8006
,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,0,2,8,0,2,4,11,4,3,9,13,23,79
,1.8,Number of pregnancy test kits used at SC level,TOTAL,,,,,,,,,,,,,
,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,3,7,6,10,4,9,4,5,9,6,3,13,79
,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,4,5,7,6,5,15,21,4,10,7,7,10,101
,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,7,12,13,16,9,24,25,9,19,13,10,23,180
,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,7,8,14,22,4,17,15,12,14,13,14,18,158
,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,1,1,0,4,2,2,1,1,3,1,2,2,20
,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,422,439,399,381,366,363,389,394,386,382,356,372,4649
,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,423,454,462,427,126,409,567,504,393,410,367,279,4821
,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,35,51,42,36,34,43,38,34,22,26,28,32,421
,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,28,32,37,25,30,18,35,28,18,24,23,18,316
,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,2,1,0,0,0,0,1,0,4
,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0,0,0,0,1,0,15,0,0,0,0,3,19
,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,83,95,94,21,80,83,73,80,93,67,70,72,911
,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,83,95,94,21,81,83,88,80,93,67,70,75,930
,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,,,,,,,,,,,,,
,4.1.1.a,Number of male live births,TOTAL,228,256,230,195,204,226,229,230,215,219,197,213,2642
,4.1.1.b,Number of female live births,TOTAL,235,250,235,228,203,206,208,205,228,188,164,205,2555
,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,463,506,465,423,407,432,437,435,443,407,361,418,5197
,4.1.2,Number of still births,TOTAL,18,25,7,12,9,14,18,5,7,4,21,16,156
,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,43,43,20,31,25,12,24,15,24,51,36,36,360
,4.2.1,Number of Newborns weighed at birth,TOTAL,457,490,461,409,397,411,414,422,430,412,374,414,5091
,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,67,87,84,63,69,68,72,68,72,56,60,55,821
,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,459,493,465,388,401,428,423,439,444,412,364,416,5132
,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,11,23,14,13,10,27,17,28,11,24,21,18,217
,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,15,16,21,12,18,21,14,11,11,11,8,13,171
,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,15,7,4,0,0,0,0,0,0,0,4,0,30
,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,41,46,39,25,28,48,31,39,22,35,33,31,418
,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,,,,,,,,,,,,,
,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,103,285,264,273,248,271,143,162,242,137,200,244,2572
,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,60,3,4,2,5,6,3,7,4,4,2,10,110
