state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,year
Andhra Pradesh,10694.0,7601.0,6413.0,9686.0,9761.0,11076.0,15499.0,16019.0,18734.0,16211.0,6397.0,14883.0,142974.0,2008
Arunachal Pradesh,876.0,894.0,56.0,1411.0,1790.0,3111.0,2869.0,2733.0,3562.0,723.0,1677.0,545.0,20247.0,2008
Assam,5651.0,5979.0,6426.0,7456.0,8672.0,9684.0,8201.0,7264.0,7860.0,7930.0,7200.0,5845.0,88168.0,2008
Bihar,41.0,923.0,1423.0,996.0,554.0,590.0,1209.0,903.0,1289.0,1152.0,902.0,961.0,10943.0,2008
Chhattisgarh,5174.0,6046.0,6453.0,4714.0,4925.0,6250.0,6733.0,8409.0,7156.0,9716.0,7897.0,6847.0,80320.0,2008
Gujarat,25073.0,23902.0,21656.0,29561.0,28757.0,33813.0,37600.0,41020.0,54700.0,48891.0,41846.0,47545.0,434364.0,2008
Haryana,4219.0,3588.0,3592.0,5927.0,4306.0,4947.0,6141.0,6236.0,4993.0,7429.0,3984.0,4484.0,59846.0,2008
Jammu & Kashmir,1105.0,750.0,669.0,2133.0,2347.0,4172.0,1659.0,1815.0,2369.0,1116.0,1068.0,902.0,20105.0,2008
Jharkhand,8978.0,8687.0,9386.0,7678.0,7526.0,8425.0,10937.0,12491.0,13709.0,12597.0,11514.0,12257.0,124185.0,2008
Karnataka,9513.0,8618.0,7676.0,25200.0,25397.0,24330.0,24311.0,24460.0,27825.0,15775.0,25562.0,23191.0,241858.0,2008
Madhya Pradesh,13576.0,12470.0,13918.0,15681.0,17992.0,19768.0,19952.0,25259.0,25294.0,23868.0,15483.0,17649.0,220910.0,2008
Maharashtra,339.0,378.0,660.0,958.0,1023.0,1213.0,1654.0,3251.0,2231.0,1548.0,1442.0,1282.0,15979.0,2008
Manipur,349.0,224.0,349.0,1171.0,1005.0,1100.0,960.0,1035.0,1132.0,605.0,478.0,491.0,8899.0,2008
Meghalaya,4379.0,3814.0,2197.0,7995.0,9179.0,6532.0,7522.0,8275.0,9032.0,9708.0,3234.0,3745.0,75612.0,2008
Nagaland,476.0,660.0,720.0,360.0,470.0,433.0,749.0,745.0,526.0,746.0,365.0,247.0,6497.0,2008
Odisha,17454.0,10760.0,18093.0,25208.0,26669.0,27344.0,34159.0,33199.0,33940.0,16646.0,15398.0,19149.0,278019.0,2008
Punjab,750.0,432.0,793.0,1030.0,930.0,966.0,1087.0,993.0,875.0,757.0,619.0,1299.0,10531.0,2008
Rajasthan,22862.0,23209.0,43238.0,2595.0,2628.0,2136.0,2769.0,46212.0,15358.0,20214.0,23784.0,24761.0,229766.0,2008
Tamil Nadu,118020.0,122786.0,110074.0,99365.0,101888.0,114325.0,114253.0,111631.0,106374.0,118413.0,123719.0,132789.0,1373637.0,2008
Tripura,747.0,527.0,909.0,6090.0,10482.0,10495.0,2681.0,9967.0,2521.0,8555.0,2333.0,1525.0,56832.0,2008
Uttar Pradesh,6598.0,2168.0,1064.0,1363.0,788.0,830.0,920.0,824.0,1373.0,942.0,420.0,6417.0,23707.0,2008
Uttarakhand,2550.0,536.0,1800.0,1867.0,3517.0,2833.0,2737.0,2012.0,1850.0,4362.0,2013.0,2349.0,28426.0,2008
West Bengal,23287.0,19122.0,13873.0,14771.0,27975.0,39548.0,25852.0,19128.0,44241.0,19834.0,20937.0,12760.0,281328.0,2008
A & N Islands,117.0,134.0,146.0,48.0,157.0,222.0,137.0,153.0,154.0,165.0,187.0,166.0,1786.0,2009
Andhra Pradesh,3355.0,4060.0,4576.0,6426.0,6928.0,5953.0,5077.0,4584.0,6582.0,3349.0,2846.0,4029.0,57765.0,2009
Arunachal Pradesh,573.0,108.0,308.0,320.0,1205.0,563.0,586.0,1077.0,1073.0,549.0,701.0,532.0,7595.0,2009
Assam,1462.0,2403.0,1843.0,5405.0,5828.0,7418.0,6483.0,5208.0,2033.0,3051.0,3367.0,1778.0,46279.0,2009
