state,year,month,aqi
3,1987,1,200.0
6,1987,1,570.375
7,1987,1,200.0
8,1987,1,287.1666666666667
9,1987,1,268.0
11,1987,1,200.0
14,1987,1,246.5
20,1987,1,380.6
21,1987,1,207.58823529411765
23,1987,1,209.66666666666666
24,1987,1,352.85714285714283
26,1987,1,375.77272727272725
3,1987,2,241.0
6,1987,2,516.5
7,1987,2,200.0
8,1987,2,446.0
9,1987,2,225.0
11,1987,2,200.0
14,1987,2,201.5
20,1987,2,430.0
21,1987,2,208.865
23,1987,2,200.0
24,1987,2,346.47058823529414
26,1987,2,375.14285714285717
3,1987,3,453.5
6,1987,3,574.8888888888889
7,1987,3,200.0
8,1987,3,228.0
11,1987,3,222.0
12,1987,3,200.0
14,1987,3,200.0
20,1987,3,200.0
21,1987,3,234.84285714285716
23,1987,3,207.0
24,1987,3,397.3333333333333
26,1987,3,317.8333333333333
3,1987,4,481.0
6,1987,4,337.0
11,1987,4,200.0
20,1987,4,445.0
21,1987,4,200.0
23,1987,4,290.0
24,1987,4,493.0
26,1987,4,260.0
7,1987,5,200.0
11,1987,5,200.0
20,1987,5,584.3333333333334
21,1987,5,210.0
24,1987,5,298.0
26,1987,5,406.2857142857143
11,1987,6,200.0
14,1987,6,200.0
21,1987,6,200.0
24,1987,6,304.0
26,1987,6,422.3333333333333
3,1987,7,256.5
11,1987,7,200.0
20,1987,7,200.0
21,1987,7,200.0
24,1987,7,406.5
26,1987,7,200.0
3,1987,8,393.0
24,1987,8,200.0
3,1987,9,200.0
8,1987,9,200.0
20,1987,9,534.5
24,1987,9,373.0
26,1987,9,270.0
3,1987,10,227.0
11,1987,10,200.0
20,1987,10,208.0
20,1987,11,408.6
23,1987,11,200.0
24,1987,11,401.0
3,1987,12,303.0
21,1987,12,280.0
24,1987,12,648.0
3,1988,1,294.8
6,1988,1,241.0
7,1988,1,208.75
8,1988,1,328.42857142857144
9,1988,1,278.45454545454544
11,1988,1,207.08333333333334
13,1988,1,267.8
14,1988,1,214.45454545454547
19,1988,1,200.0
20,1988,1,337.06666666666666
21,1988,1,240.25
23,1988,1,201.64
24,1988,1,369.6875
26,1988,1,391.3809523809524
3,1988,2,466.5
6,1988,2,300.4
7,1988,2,200.0
8,1988,2,285.0
9,1988,2,280.9
11,1988,2,212.73684210526315
12,1988,2,200.0
13,1988,2,294.0
14,1988,2,209.7
19,1988,2,200.0
20,1988,2,432.1333333333333
21,1988,2,239.76470588235293
23,1988,2,201.32
24,1988,2,401.3333333333333
26,1988,2,384.40909090909093
3,1988,3,367.22222222222223
6,1988,3,247.66666666666666
7,1988,3,200.0
8,1988,3,453.0
11,1988,3,226.0
12,1988,3,200.0
14,1988,3,200.0
19,1988,3,200.0
20,1988,3,544.0
21,1988,3,219.0
23,1988,3,200.85714285714286
24,1988,3,602.375
26,1988,3,259.6666666666667
3,1988,4,231.33333333333334
8,1988,4,289.5
9,1988,4,362.0
11,1988,4,200.0
12,1988,4,200.0
13,1988,4,223.0
14,1988,4,200.0
20,1988,4,402.6666666666667
21,1988,4,234.33333333333334
23,1988,4,200.0
24,1988,4,529.6
26,1988,4,360.0
3,1988,5,438.0
8,1988,5,281.0
11,1988,5,200.0
12,1988,5,200.0
20,1988,5,339.0
21,1988,5,200.0
23,1988,5,200.0
24,1988,5,441.6
3,1988,6,200.0
11,1988,6,200.0
12,1988,6,200.0
13,1988,6,233.0
21,1988,6,200.0
24,1988,6,257.0
3,1988,7,579.6666666666666
11,1988,7,200.0
12,1988,7,200.0
19,1988,7,200.0
20,1988,7,353.0
21,1988,7,463.0
24,1988,7,355.5
3,1988,8,258.5
7,1988,8,200.0
8,1988,8,243.0
11,1988,8,547.0
19,1988,8,200.0
21,1988,8,200.0
24,1988,8,200.33333333333334
3,1988,9,502.0
12,1988,9,200.0
19,1988,9,200.0
20,1988,9,454.0
24,1988,9,200.0
3,1988,10,200.0
9,1988,10,235.0
12,1988,10,200.0
23,1988,10,200.0
3,1988,11,490.0
9,1988,11,362.0
11,1988,11,200.0
21,1988,11,200.0
24,1988,11,221.0
24,1988,12,352.0
3,1989,1,490.3333333333333
7,1989,1,200.0
8,1989,1,202.0
9,1989,1,242.0
11,1989,1,262.125
12,1989,1,200.0
13,1989,1,257.5
14,1989,1,200.0
19,1989,1,200.0
20,1989,1,466.0
21,1989,1,226.8
23,1989,1,200.0
24,1989,1,414.42857142857144
26,1989,1,481.25
3,1989,2,644.6666666666666
4,1989,2,200.0
7,1989,2,221.0
8,1989,2,279.0
9,1989,2,262.0
11,1989,2,215.625
12,1989,2,200.0
13,1989,2,279.42857142857144
14,1989,2,264.0
19,1989,2,200.0
20,1989,2,399.25
21,1989,2,248.6
23,1989,2,200.0
24,1989,2,356.625
26,1989,2,411.5
3,1989,3,502.6666666666667
4,1989,3,216.0
7,1989,3,200.0
8,1989,3,285.5
9,1989,3,334.5
11,1989,3,214.375
12,1989,3,200.0
13,1989,3,274.6666666666667
14,1989,3,213.0
19,1989,3,200.0
20,1989,3,384.5
21,1989,3,246.2
23,1989,3,205.83333333333334
24,1989,3,471.4
26,1989,3,362.3333333333333
3,1989,4,561.3333333333334
4,1989,4,215.33333333333334
7,1989,4,200.0
8,1989,4,312.5
9,1989,4,305.5
11,1989,4,205.75
12,1989,4,200.0
13,1989,4,282.7142857142857
14,1989,4,200.0
19,1989,4,209.33333333333334
20,1989,4,362.25
21,1989,4,254.6
23,1989,4,204.66666666666666
24,1989,4,435.1
26,1989,4,343.1666666666667
3,1989,5,368.0
4,1989,5,319.3333333333333
7,1989,5,205.0
8,1989,5,308.5
9,1989,5,291.5
11,1989,5,221.375
12,1989,5,226.8
13,1989,5,267.85714285714283
14,1989,5,200.0
19,1989,5,200.0
20,1989,5,531.0
23,1989,5,209.33333333333334
24,1989,5,435.3
26,1989,5,306.1666666666667
3,1989,6,236.66666666666666
4,1989,6,237.66666666666666
7,1989,6,200.0
8,1989,6,398.0
9,1989,6,253.0
11,1989,6,210.75
12,1989,6,200.0
13,1989,6,243.28571428571428
14,1989,6,200.0
19,1989,6,200.0
21,1989,6,236.8
23,1989,6,200.8
24,1989,6,366.6
26,1989,6,225.5
3,1989,7,210.0
4,1989,7,200.0
7,1989,7,200.0
8,1989,7,254.0
9,1989,7,224.5
11,1989,7,200.0
12,1989,7,200.0
19,1989,7,200.0
21,1989,7,221.5
23,1989,7,200.0
24,1989,7,326.8888888888889
26,1989,7,211.25
3,1989,8,205.0
4,1989,8,200.0
7,1989,8,200.0
8,1989,8,233.0
9,1989,8,258.5
11,1989,8,200.0
12,1989,8,200.0
19,1989,8,200.0
21,1989,8,210.5
23,1989,8,200.0
24,1989,8,314.8888888888889
3,1989,9,200.0
4,1989,9,200.0
7,1989,9,200.0
8,1989,9,249.5
9,1989,9,312.0
11,1989,9,200.0
12,1989,9,200.0
13,1989,9,200.0
14,1989,9,215.5
19,1989,9,200.0
21,1989,9,203.0
23,1989,9,200.0
24,1989,9,315.3
14,1989,10,200.0
3,1989,12,214.5
4,1989,12,210.0
7,1989,12,200.0
8,1989,12,239.0
9,1989,12,283.5
11,1989,12,200.0
12,1989,12,200.0
13,1989,12,264.0
14,1989,12,308.0
19,1989,12,200.0
21,1989,12,257.0
23,1989,12,200.0
24,1989,12,517.0
26,1989,12,376.75
3,1990,1,347.25
4,1990,1,201.0
6,1990,1,319.55555555555554
7,1990,1,200.0
8,1990,1,248.5
9,1990,1,235.4
11,1990,1,208.25
12,1990,1,208.875
13,1990,1,293.3333333333333
14,1990,1,341.6666666666667
19,1990,1,200.0
20,1990,1,341.25
21,1990,1,284.875
23,1990,1,200.22222222222223
24,1990,1,448.8888888888889
26,1990,1,344.75
0,1990,2,200.0
3,1990,2,390.5
4,1990,2,200.0
6,1990,2,319.77777777777777
7,1990,2,200.0
8,1990,2,278.5
9,1990,2,221.6
11,1990,2,200.875
12,1990,2,200.0
13,1990,2,238.85714285714286
14,1990,2,262.5
19,1990,2,200.0
20,1990,2,260.0
21,1990,2,263.125
23,1990,2,202.33333333333334
24,1990,2,411.61538461538464
26,1990,2,294.5
0,1990,3,200.0
3,1990,3,306.75
4,1990,3,222.33333333333334
6,1990,3,341.77777777777777
7,1990,3,202.0
8,1990,3,284.5
9,1990,3,226.5
11,1990,3,202.0
12,1990,3,201.625
13,1990,3,259.0
14,1990,3,244.0
19,1990,3,200.0
20,1990,3,333.0
21,1990,3,287.375
23,1990,3,204.66666666666666
24,1990,3,417.45454545454544
26,1990,3,364.0
0,1990,4,200.0
3,1990,4,358.0
4,1990,4,296.0
6,1990,4,408.6666666666667
7,1990,4,200.0
8,1990,4,379.5
9,1990,4,259.2
11,1990,4,202.875
12,1990,4,224.375
13,1990,4,393.15384615384613
14,1990,4,247.4
19,1990,4,200.0
20,1990,4,348.3333333333333
21,1990,4,309.625
23,1990,4,205.66666666666666
24,1990,4,429.8
26,1990,4,353.3333333333333
0,1990,5,200.0
3,1990,5,329.5
4,1990,5,269.0
6,1990,5,570.7777777777778
7,1990,5,200.0
8,1990,5,388.5
9,1990,5,253.25
11,1990,5,200.0
12,1990,5,200.75
13,1990,5,297.6923076923077
14,1990,5,210.33333333333334
19,1990,5,200.0
20,1990,5,399.5
21,1990,5,378.25
23,1990,5,200.0
24,1990,5,404.0
26,1990,5,390.125
0,1990,6,200.0
3,1990,6,320.5
4,1990,6,370.0
6,1990,6,601.1111111111111
7,1990,6,200.0
8,1990,6,403.5
9,1990,6,335.8333333333333
11,1990,6,220.5
12,1990,6,200.0
13,1990,6,315.1818181818182
14,1990,6,214.26666666666668
19,1990,6,200.0
20,1990,6,501.0
21,1990,6,328.0
23,1990,6,200.0
24,1990,6,502.4166666666667
26,1990,6,335.85714285714283
0,1990,7,200.0
3,1990,7,253.0
4,1990,7,200.0
6,1990,7,299.1111111111111
7,1990,7,200.0
8,1990,7,334.0
9,1990,7,207.66666666666666
11,1990,7,212.75
12,1990,7,210.375
13,1990,7,200.0
14,1990,7,207.8125
19,1990,7,200.0
20,1990,7,300.25
21,1990,7,200.0
23,1990,7,200.0
24,1990,7,312.1875
26,1990,7,283.57142857142856
0,1990,8,200.0
3,1990,8,246.375
4,1990,8,200.0
6,1990,8,245.55555555555554
7,1990,8,200.0
8,1990,8,320.5
9,1990,8,202.83333333333334
11,1990,8,202.14285714285714
12,1990,8,202.25
14,1990,8,200.0
19,1990,8,200.0
20,1990,8,233.75
